        i_product_name        |       i_brand       |    i_class     | i_category  |         qoh          
------------------------------+---------------------+----------------+-------------+----------------------
 eseationesen stanti          |                     |                |             | 451.7947658402203857
 eseationesen stanti          | edu packamalg #1    |                |             | 451.7947658402203857
 eseationesen stanti          | edu packamalg #1    | swimwear       |             | 451.7947658402203857
 eseationesen stanti          | edu packamalg #1    | swimwear       | Women       | 451.7947658402203857
 oughtantiableoughtbarought   |                     |                |             | 455.8615179760319574
 oughtantiableoughtbarought   | importobrand #2     |                |             | 455.8615179760319574
 oughtantiableoughtbarought   | importobrand #2     | bedding        |             | 455.8615179760319574
 oughtantiableoughtbarought   | importobrand #2     | bedding        | Home        | 455.8615179760319574
 callypricallyationn stought  |                     |                |             | 457.4351351351351351
 callypricallyationn stought  | amalgcorp #5        |                |             | 457.4351351351351351
 callypricallyationn stought  | amalgcorp #5        | birdal         |             | 457.4351351351351351
 callypricallyationn stought  | amalgcorp #5        | birdal         | Jewelry     | 457.4351351351351351
 ableationantieingcallyought  |                     |                |             | 457.9798387096774194
 ableationantieingcallyought  | importoedu pack #1  |                |             | 457.9798387096774194
 ableationantieingcallyought  | importoedu pack #1  | mens           |             | 457.9798387096774194
 ableationantieingcallyought  | importoedu pack #1  | mens           | Shoes       | 457.9798387096774194
 n stbarn stcallyable         |                     |                |             | 459.0810810810810811
 n stbarn stcallyable         | edu packimporto #2  |                |             | 459.0810810810810811
 n stbarn stcallyable         | edu packimporto #2  | sports-apparel |             | 459.0810810810810811
 n stbarn stcallyable         | edu packimporto #2  | sports-apparel | Men         | 459.0810810810810811
 ationn stbarationpri         |                     |                |             | 460.0258152173913043
 ationn stbarationpri         | edu packamalg #2    |                |             | 460.0258152173913043
 ationn stbarationpri         | edu packamalg #2    | swimwear       |             | 460.0258152173913043
 ationn stbarationpri         | edu packamalg #2    | swimwear       | Women       | 460.0258152173913043
 ationcallyantin stationought |                     |                |             | 460.1364256480218281
 ationcallyantin stationought | namelessbrand #8    |                |             | 460.1364256480218281
 ationcallyantin stationought | namelessbrand #8    | lighting       |             | 460.1364256480218281
 ationcallyantin stationought | namelessbrand #8    | lighting       | Home        | 460.1364256480218281
 priantiationableoughtought   |                     |                |             | 460.2872483221476510
 priantiationableoughtought   | scholarunivamalg #2 |                |             | 460.2872483221476510
 priantiationableoughtought   | scholarunivamalg #2 | fiction        |             | 460.2872483221476510
 priantiationableoughtought   | scholarunivamalg #2 | fiction        | Books       | 460.2872483221476510
 esebarn stationeingought     |                     |                |             | 460.7398373983739837
 esebarn stationeingought     | univamalgamalg #4   |                |             | 460.7398373983739837
 esebarn stationeingought     | univamalgamalg #4   | memory         |             | 460.7398373983739837
 esebarn stationeingought     | univamalgamalg #4   | memory         | Electronics | 460.7398373983739837
 ableationoughtbaration       |                     |                |             | 461.1588785046728972
 ableationoughtbaration       | importoexporti #1   |                |             | 461.1588785046728972
 ableationoughtbaration       | importoexporti #1   | infants        |             | 461.1588785046728972
 ableationoughtbaration       | importoexporti #1   | infants        | Children    | 461.1588785046728972
 eingoughtcallycallyanti      |                     |                |             | 461.1924119241192412
 eingoughtcallycallyanti      | scholarnameless #9  |                |             | 461.1924119241192412
 eingoughtcallycallyanti      | scholarnameless #9  | fitness        |             | 461.1924119241192412
 eingoughtcallycallyanti      | scholarnameless #9  | fitness        | Sports      | 461.1924119241192412
 callyablen steseable         |                     |                |             | 461.3563685636856369
 callyablen steseable         | importoscholar #1   |                |             | 461.3563685636856369
 callyablen steseable         | importoscholar #1   | country        |             | 461.3563685636856369
 callyablen steseable         | importoscholar #1   | country        | Music       | 461.3563685636856369
 pripriantieseeing            |                     |                |             | 461.3765182186234818
 pripriantieseeing            | edu packbrand #6    |                |             | 461.3765182186234818
 pripriantieseeing            | edu packbrand #6    | estate         |             | 461.3765182186234818
 pripriantieseeing            | edu packbrand #6    | estate         | Jewelry     | 461.3765182186234818
 barationableableantiought    |                     |                |             | 461.5141318977119785
 barationableableantiought    | exportiamalg #1     |                |             | 461.5141318977119785
 barationableableantiought    | exportiamalg #1     | maternity      |             | 461.5141318977119785
 barationableableantiought    | exportiamalg #1     | maternity      | Women       | 461.5141318977119785
 callyantipripripri           |                     |                |             | 461.7991858887381275
 callyantipripripri           | amalgimporto #1     |                |             | 461.7991858887381275
 callyantipripripri           | amalgimporto #1     | accessories    |             | 461.7991858887381275
 callyantipripripri           | amalgimporto #1     | accessories    | Men         | 461.7991858887381275
 n stanticallyoughtought      |                     |                |             | 461.8075370121130552
 n stanticallyoughtought      | maxiunivamalg #15   |                |             | 461.8075370121130552
 n stanticallyoughtought      | maxiunivamalg #15   | televisions    |             | 461.8075370121130552
 n stanticallyoughtought      | maxiunivamalg #15   | televisions    | Electronics | 461.8075370121130552
 pricallycallyeingcally       |                     |                |             | 461.9004092769440655
 pricallycallyeingcally       | amalgimporto #2     |                |             | 461.9004092769440655
 pricallycallyeingcally       | amalgimporto #2     | accessories    |             | 461.9004092769440655
 pricallycallyeingcally       | amalgimporto #2     | accessories    | Men         | 461.9004092769440655
 callyableeingought           |                     |                |             | 462.6864064602960969
 callyableeingought           | corpcorp #3         |                |             | 462.6864064602960969
 callyableeingought           | corpcorp #3         | rings          |             | 462.6864064602960969
 callyableeingought           | corpcorp #3         | rings          | Jewelry     | 462.6864064602960969
 eingprieseablen st           |                     |                |             | 462.7079407806191117
 eingprieseablen st           | maxiunivamalg #10   |                |             | 462.7079407806191117
 eingprieseablen st           | maxiunivamalg #10   | televisions    |             | 462.7079407806191117
 eingprieseablen st           | maxiunivamalg #10   | televisions    | Electronics | 462.7079407806191117
 oughtn stcallyantieing       |                     |                |             | 462.9273972602739726
 oughtn stcallyantieing       | importonameless #2  |                |             | 462.9273972602739726
