 i_manufact_id |    total_sales    
---------------+-------------------
           930 |         594226.03
           944 | 631181.2899999999
           998 |         650385.48
           950 |          678924.8
           774 | 695625.9299999999
           817 | 701970.2100000001
           772 | 727977.8700000001
           975 |         737315.16
           915 |         748816.06
           875 |         760613.83
           863 |         772800.65
           796 | 773949.5399999999
           820 | 777139.9099999999
           953 | 784283.6599999999
           736 |         786276.73
           686 | 789022.6599999999
           969 |          792560.4
           951 |         805589.54
           785 | 806203.4199999999
           925 |         807393.93
           712 | 815840.6500000001
           956 | 816867.3899999999
           701 |         817413.23
           880 | 818277.3999999999
           886 | 818757.9099999999
           881 | 823997.1599999999
           678 | 829526.0700000001
           877 | 846737.9100000001
           943 |         850581.25
           679 |         850905.28
           789 |         857619.03
           681 | 859520.3799999999
           973 | 866322.5200000001
           945 |         870467.47
           739 | 877050.4199999999
           816 | 877973.1999999998
           687 |            880004
           768 |         882134.05
           715 | 886546.2800000001
           948 | 886932.8799999999
           729 |         889145.14
           708 |            893558
           927 | 895314.7699999999
           919 | 896705.6299999999
           716 | 898145.2999999998
           831 |         904507.67
           957 |         904532.72
           837 |         908522.13
           924 |         908928.51
           791 | 910812.0700000001
           917 |         912500.29
           811 | 913927.6399999999
           865 |         914274.89
           676 | 917878.6200000001
           710 | 919826.8599999999
           935 | 921794.1599999999
           963 | 922071.5699999998
           695 |         923528.95
           815 | 925603.7899999999
           997 | 925650.0300000003
           755 |         935963.74
           907 | 936418.3899999999
           983 | 938522.8899999998
           928 | 938603.9199999999
           730 | 939663.1499999999
           921 |         940106.45
           932 | 941255.5999999999
           778 | 941632.2599999999
           888 |          942912.7
           830 | 943823.3300000002
           728 |         946005.52
           996 | 953680.2400000001
           918 | 954956.5900000001
           906 | 955179.4599999997
           731 | 956062.0499999999
           734 |            958125
           682 |         959008.28
           735 | 961893.1599999999
           744 | 963013.2999999998
           819 | 966552.0900000001
           691 |         967186.75
           874 |          969486.8
           909 | 975859.9500000001
           705 |         976196.51
           766 |         976489.03
           968 |         976894.44
           680 |         977499.79
           690 | 981281.7900000002
           971 | 984114.5299999998
           814 | 987060.5999999997
           978 | 987231.3300000001
           849 |         987759.86
           940 | 992164.1100000001
           914 |         993494.86
           821 | 995746.1000000001
           933 |         996249.96
           745 | 996790.2999999998
           836 | 997063.0700000001
           844 | 997539.5599999999
           959 | 998050.9599999997
(100 rows)

