     gross_margin     | i_category  |     i_class     | lochierarchy | rank_within_parent |   case   
----------------------+-------------+-----------------+--------------+--------------------+----------
 -0.43350171623115213 |             |                 |            2 |                  1 | 
  -0.4397246013455674 |             |                 |            1 |                  1 | 
 -0.43566708376841184 | Shoes       |                 |            1 |                  2 | 
 -0.43510323499046744 | Books       |                 |            1 |                  3 | 
 -0.43491158865099394 | Men         |                 |            1 |                  4 | 
  -0.4342033811519275 | Children    |                 |            1 |                  5 | 
  -0.4341065818762987 | Women       |                 |            1 |                  6 | 
  -0.4338764550678252 | Home        |                 |            1 |                  7 | 
  -0.4328502014312053 | Jewelry     |                 |            1 |                  8 | 
 -0.43193309667768387 | Electronics |                 |            1 |                  9 | 
 -0.43130616763129564 | Music       |                 |            1 |                 10 | 
 -0.43096629713598494 | Sports      |                 |            1 |                 11 | 
   -0.787411488720481 |             | business        |            0 |                  1 | 
  -0.7586335102941005 |             | school-uniforms |            0 |                  2 | 
  -0.7087430800879851 |             | wallpaper       |            0 |                  3 | 
  -0.6843647284561517 |             | golf            |            0 |                  4 | 
  -0.6681058096616551 |             | pendants        |            0 |                  5 | 
  -0.6671382824197303 |             | fitness         |            0 |                  6 | 
  -0.6237217987128847 |             | rock            |            0 |                  7 | 
  -0.6139819015490876 |             | optics          |            0 |                  8 | 
  -0.5770407096442893 |             | rugs            |            0 |                  9 | 
  -0.5725486849995155 |             | custom          |            0 |                 10 | 
  -0.5698224519168799 |             | entertainments  |            0 |                 11 | 
   -0.569388544183155 |             | memory          |            0 |                 12 | 
    -0.56644419682057 |             | camcorders      |            0 |                 13 | 
  -0.5653297431614936 |             | dresses         |            0 |                 14 | 
  -0.5358001101040777 |             | monitors        |            0 |                 15 | 
  -0.5060800031058146 |             | pants           |            0 |                 16 | 
 -0.48970407253016573 |             | guns            |            0 |                 17 | 
 -0.48197677940479244 |             | baseball        |            0 |                 18 | 
  -0.4638856136117966 |             | self-help       |            0 |                 19 | 
 -0.46299593800299493 |             | fragrances      |            0 |                 20 | 
 -0.46181523155764587 |             | classical       |            0 |                 21 | 
  -0.4572536681180631 |             | lighting        |            0 |                 22 | 
  -0.4496471930120699 |             |                 |            0 |                 23 | 
  -0.4460842509551793 |             | kids            |            0 |                 24 | 
  -0.4418759586645159 |             | diamonds        |            0 |                 25 | 
  -0.4395740997923106 |             | womens          |            0 |                 26 | 
 -0.43943096201924164 |             | mens            |            0 |                 27 | 
 -0.43625941349671327 |             | dvd/vcr players |            0 |                 28 | 
 -0.43341850018994854 |             | scanners        |            0 |                 29 | 
  -0.4303760394240692 |             | flatware        |            0 |                 30 | 
 -0.42421608633345886 |             | swimwear        |            0 |                 31 | 
 -0.41889282179607684 |             | womens watch    |            0 |                 32 | 
  -0.4125582755912462 |             | camping         |            0 |                 33 | 
  -0.4085706331996464 |             | stereo          |            0 |                 34 | 
  -0.4017969645797115 |             | newborn         |            0 |                 35 | 
   -0.401474260790273 |             | karoke          |            0 |                 36 | 
 -0.39849478074044975 |             | sports-apparel  |            0 |                 37 | 
 -0.39400834877381985 |             | tables          |            0 |                 38 | 
  -0.3928707247852462 |             | birdal          |            0 |                 39 | 
  -0.3909619284325535 |             | archery         |            0 |                 40 | 
 -0.38957210445567225 |             | history         |            0 |                 41 | 
 -0.38838280715858037 |             | accent          |            0 |                 42 | 
  -0.3876525825175494 |             | earings         |            0 |                 43 | 
  -0.3851254519203234 |             | bracelets       |            0 |                 44 | 
 -0.37632915928488647 |             | infants         |            0 |                 45 | 
   -0.369955060112745 |             | parenting       |            0 |                 46 | 
  -0.3674198270231133 |             | glassware       |            0 |                 47 | 
 -0.36513180572230985 |             | computers       |            0 |                 48 | 
 -0.35973288193761477 |             | toddlers        |            0 |                 49 | 
  -0.3576350876106618 |             | athletic        |            0 |                 50 | 
 -0.35727741283655007 |             | loose stones    |            0 |                 51 | 
  -0.3524117975273768 |             | country         |            0 |                 52 | 
  -0.3476820894464477 |             | pop             |            0 |                 53 | 
 -0.34136081897409337 |             | semi-precious   |            0 |                 54 | 
 -0.33007193721502326 |             | reference       |            0 |                 55 | 
