 i_category |       i_brand        | s_store_name | s_company_name | d_year | d_moy | avg_monthly_sales  |     sum_sales      |        psum        |        nsum        |      ?column?       
------------+----------------------+--------------+----------------+--------+-------+--------------------+--------------------+--------------------+--------------------+---------------------
 Children   | importoexporti #2    | able         | Unknown        |   1999 |     2 |  190503.8916666666 |  94975.76999999984 | 136432.32999999993 | 109156.64000000003 |  -95528.12166666676
 Children   | edu packexporti #2   | cally        | Unknown        |   1999 |     2 | 168589.76416666666 |  84241.66999999993 | 120852.19999999997 | 102006.57999999999 |  -84348.09416666673
 Music      | edu packscholar #2   | n st         | Unknown        |   1999 |     2 |  95184.64500000003 |  47555.18000000002 |           69261.28 |  52446.92000000001 |  -47629.46500000001
 Jewelry    | corpbrand #3         | able         | Unknown        |   1999 |     2 |  29261.92583333333 | 14247.129999999996 | 20845.629999999997 |           16766.61 | -15014.795833333335
 Books      | exportiunivamalg #9  | able         | Unknown        |   1999 |     2 | 28831.632499999996 | 13881.789999999997 | 20084.959999999992 | 18729.499999999996 | -14949.842499999999
 Jewelry    | corpbrand #3         | ese          | Unknown        |   1999 |     2 |  27936.94333333333 |           13441.38 |           19880.59 | 16410.300000000003 |  -14495.56333333333
 Books      | brandmaxi #8         | bar          | Unknown        |   1999 |     6 |  28269.50333333333 |            13973.2 | 15824.799999999996 | 16819.850000000002 |  -14296.30333333333
 Books      | brandmaxi #8         | eing         | Unknown        |   1999 |     2 | 28293.289166666666 | 14069.039999999997 | 20336.280000000002 |           15494.23 | -14224.249166666668
 Books      | importounivamalg #8  | able         | Unknown        |   1999 |     2 |          26982.875 |           12842.22 |           18489.36 | 14197.529999999999 |          -14140.655
 Jewelry    | edu packcorp #3      | able         | Unknown        |   1999 |     2 | 24156.679166666665 |            10035.5 |           16526.48 | 15061.990000000002 | -14121.179166666665
 Books      | importounivamalg #2  | bar          | Unknown        |   1999 |     2 | 26383.284166666668 | 12362.549999999997 | 17447.810000000005 | 16931.399999999998 |  -14020.73416666667
 Jewelry    | importobrand #7      | eing         | Unknown        |   1999 |     2 | 26793.244999999995 | 12779.130000000001 | 19576.910000000003 |           16734.82 | -14014.114999999994
 Books      | importounivamalg #2  | able         | Unknown        |   1999 |     6 | 27025.569166666664 | 13048.730000000003 |           16528.05 | 15264.689999999995 | -13976.839166666661
 Jewelry    | namelesscorp #3      | able         | Unknown        |   1999 |     2 | 24629.138333333332 | 10786.440000000004 | 18397.309999999998 | 14558.129999999997 | -13842.698333333328
 Jewelry    | univbrand #7         | bar          | Unknown        |   1999 |     4 |  25657.25583333333 | 11880.539999999997 | 17056.690000000002 | 15243.009999999998 | -13776.715833333332
