 d_year | brand_id |        brand         |     ext_price      
--------+----------+----------------------+--------------------
   2000 |  1001002 | amalgamalg #2        |  5718309.380000004
   2000 |  2001002 | amalgimporto #2      |  5509048.210000005
   2000 |  2003002 | exportiimporto #2    |  5343782.240000004
   2000 |  2004002 | edu packimporto #2   |  5305315.460000001
   2000 |  3002002 | importoexporti #2    |  4779013.049999999
   2000 |  4004002 | edu packedu pack #2  |  4655494.019999996
   2000 |  1004002 | edu packamalg #2     |  4579064.830000002
   2000 |  1003001 | exportiamalg #1      |  4311018.140000004
   2000 |  4001002 | amalgedu pack #2     |  4164449.209999999
   2000 |  5003002 | exportischolar #2    |  4032060.340000001
   2000 |  3001002 | amalgexporti #2      | 3982772.6699999995
   2000 |  1003002 | exportiamalg #2      | 3830576.3800000027
   2000 |  3003002 | exportiexporti #2    |  3652193.790000002
   2000 |  4002002 | importoedu pack #2   | 3617395.4999999995
   2000 |  5001002 | amalgscholar #2      | 3615287.9400000013
   2000 |  3004002 | edu packexporti #2   |  3565810.500000002
   2000 |  4003002 | exportiedu pack #2   |  3507845.840000001
   2000 |  4003001 | exportiedu pack #1   |         3435700.18
   2000 |  2002001 | importoimporto #1    |  3316148.649999999
   2000 |  5002002 | importoscholar #2    | 2822662.1099999985
   2000 |  1002002 | importoamalg #2      |  2795040.089999999
   2000 |  4004001 | edu packedu pack #1  | 2746508.6899999995
   2000 |  3004001 | edu packexporti #1   | 2711699.6900000013
   2000 |  2001001 | amalgimporto #1      |  2634229.590000001
   2000 |  5004002 | edu packscholar #2   | 2632422.3500000006
   2000 |  3003001 | exportiexporti #1    |  2565994.619999999
   2000 |  2002002 | importoimporto #2    |         2543133.63
   2000 |  4002001 | importoedu pack #1   | 2453235.8800000013
   2000 |  1002001 | importoamalg #1      | 2408531.4999999995
   2000 |  4001001 | amalgedu pack #1     |  2406093.129999999
   2000 |  3001001 | amalgexporti #1      |  2388248.999999999
   2000 |  1004001 | edu packamalg #1     | 2377315.6700000004
   2000 |  2003001 | exportiimporto #1    |  2293709.030000002
   2000 |  5003001 | exportischolar #1    | 2207476.5300000007
   2000 |  1001001 | amalgamalg #1        | 1917854.2000000011
   2000 |  5001001 | amalgscholar #1      | 1810571.1400000008
   2000 |  3002001 | importoexporti #1    |         1737225.58
   2000 |  2004001 | edu packimporto #1   | 1614162.4800000004
   2000 |  5004001 | edu packscholar #1   | 1455636.4600000004
   2000 |  5002001 | importoscholar #1    |         1300842.92
   2000 |  9014008 | edu packunivamalg #8 |  967539.5399999998
   2000 |  7007004 | brandbrand #4        |          890820.45
   2000 |  9009012 | maximaxi #12         |  888404.0500000003
   2000 |  6003008 | exporticorp #8       |  849861.1499999999
   2000 |  9015002 | scholarunivamalg #2  |          837792.39
   2000 |  9011008 | amalgunivamalg #8    |  746394.1299999999
