 i_category |       i_brand       |       cc_name       | d_year | d_moy | avg_monthly_sales  |     sum_sales      |        psum        |        nsum        |      ?column?       
------------+---------------------+---------------------+--------+-------+--------------------+--------------------+--------------------+--------------------+---------------------
 Children   | amalgexporti #1     | Mid Atlantic_1      |   1999 |     2 | 135537.77916666665 |  65221.42000000003 |  75448.19000000003 |           76121.41 |  -70316.35916666662
 Shoes      | amalgedu pack #1    | North Midwest_1     |   1999 |     2 |  136239.7366666667 |  66050.21999999997 |  79747.45000000003 |  75346.43999999996 |  -70189.51666666672
 Children   | amalgexporti #1     | Pacific Northwest_1 |   1999 |     2 | 133820.31583333333 |  65974.74999999997 |           86417.88 |  81230.83999999994 |  -67845.56583333336
 Men        | amalgimporto #1     | North Midwest_1     |   1999 |     2 | 133749.19666666668 |  66785.88000000002 |  75959.71999999999 |  76307.67999999995 |  -66963.31666666667
 Shoes      | importoedu pack #1  | Pacific Northwest   |   1999 |     2 | 128690.96249999997 |  62982.43999999996 |  76430.71000000002 |  73590.14000000004 |         -65708.5225
 Children   | exportiexporti #1   | Hawaii/Alaska_1     |   1999 |     2 | 131101.35166666668 |  65451.87000000001 |  76470.63999999996 |  72666.42999999998 |  -65649.48166666667
 Men        | exportiimporto #1   | Pacific Northwest   |   1999 |     2 | 130008.92250000003 |  64853.42999999998 |           78998.34 |  78227.82999999997 |  -65155.49250000005
 Music      | exportischolar #1   | Mid Atlantic        |   1999 |     2 | 127262.82583333332 |  63017.12000000001 |  74900.88000000002 |  73019.54000000002 |  -64245.70583333331
 Music      | exportischolar #1   | Mid Atlantic_1      |   1999 |     2 | 127242.10250000004 |  63115.36999999998 |  77789.73000000004 |  73174.31000000003 |  -64126.73250000006
 Music      | exportischolar #2   | Mid Atlantic_2      |   1999 |     2 |  67815.75750000002 |  32365.20000000001 |            40750.1 |           42037.68 |  -35450.55750000001
 Music      | edu packscholar #2  | Pacific Northwest_1 |   1999 |     2 |  70211.69916666666 |  34998.72000000001 | 41119.189999999995 |           38259.05 |  -35212.97916666665
 Shoes      | exportiedu pack #2  | Mid Atlantic_2      |   1999 |     2 |  68890.06666666667 |  33682.80000000002 |  42397.45000000001 |  42271.51999999999 |  -35207.26666666665
 Shoes      | edu packedu pack #2 | Mid Atlantic_1      |   1999 |     2 |  66669.35750000001 |           31466.18 |  40419.80999999999 |  39012.50999999999 |  -35203.17750000001
 Women      | amalgamalg #2       | Mid Atlantic_1      |   1999 |     2 |  69105.82083333335 |           33971.84 |  44510.66000000002 |           38532.77 |  -35133.98083333335
 Men        | amalgimporto #2     | California_1        |   1999 |     2 |  69570.40666666666 |           34718.91 |  40579.92000000002 |  41609.99000000001 |  -34851.49666666666
