      total_sum      | s_state |     s_county      | lochierarchy | rank_within_parent | case 
---------------------+---------+-------------------+--------------+--------------------+------
 -43989851063.259834 |         |                   |            2 |                  1 | 
 -3072592379.6402035 | MO      |                   |            1 |                  1 | 
 -3525144593.1102777 | GA      |                   |            1 |                  2 | 
  -4390699028.489945 | AL      |                   |            1 |                  3 | 
  -4827829295.770123 | OH      |                   |            1 |                  4 | 
  -4842861219.399851 | MI      |                   |            1 |                  5 | 
  -5500924087.219387 | TN      |                   |            1 |                  6 | 
  -5521444751.530166 | LA      |                   |            1 |                  7 | 
  -5935200524.019334 | SC      |                   |            1 |                  8 | 
  -6373155184.080503 | SD      |                   |            1 |                  9 | 
  -4390699028.489956 | AL      | Walker County     |            0 |                  1 | AL
  -3525144593.110272 | GA      | Barrow County     |            0 |                  1 | GA
  -5521444751.530197 | LA      | Franklin Parish   |            0 |                  1 | LA
  -4842861219.399851 | MI      | Luce County       |            0 |                  1 | MI
 -3072592379.6401997 | MO      | Daviess County    |            0 |                  1 | MO
 -4827829295.7701025 | OH      | Richland County   |            0 |                  1 | OH
 -218833293.27999976 | SC      |                   |            0 |                  1 | SC
   -5716367230.73935 | SC      | Fairfield County  |            0 |                  2 | SC
  -6373155184.080489 | SD      | Ziebach County    |            0 |                  1 | SD
  -5500924087.219394 | TN      | Williamson County |            0 |                  1 | TN
(20 rows)

