 prev_year | year_ | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff |   sales_amt_diff    
-----------+-------+------------+------------+---------------+---------------+-------------+-------------+----------------+---------------------
      2001 |  2002 |    3001001 |          1 |             9 |           173 |      138555 |       42621 |         -95934 |         -4292237.34
      2001 |  2002 |    3002001 |          2 |             9 |           174 |       92654 |       45121 |         -47533 | -2270907.8999999985
      2001 |  2002 |    5003001 |          3 |             9 |           452 |       94667 |       47581 |         -47086 | -1976079.2299999958
      2001 |  2002 |    4001001 |          1 |             9 |           259 |       88750 |       42160 |         -46590 | -2057719.7300000044
      2001 |  2002 |    4003001 |          3 |             9 |            21 |       88062 |       41726 |         -46336 | -2143105.6699999985
      2001 |  2002 |    4003001 |          3 |             9 |           120 |       90721 |       45259 |         -45462 | -2048448.9299999978
      2001 |  2002 |    2002001 |          2 |             9 |           608 |       90402 |       44986 |         -45416 | -2081446.9600000046
      2001 |  2002 |    1004001 |          4 |             9 |           228 |       89224 |       45941 |         -43283 | -1905409.6899999953
      2001 |  2002 |    4002001 |          2 |             9 |           263 |       88226 |       46949 |         -41277 | -1773171.4499999986
      2001 |  2002 |    3003001 |          3 |             9 |           590 |       85411 |       46054 |         -39357 | -1708644.1100000006
      2001 |  2002 |    9013002 |         13 |             9 |           461 |       51213 |       43731 |          -7482 |  -415884.4600000018
      2001 |  2002 |    9014008 |         14 |             9 |            55 |       48011 |       40735 |          -7276 | -345172.11000000127
      2001 |  2002 |    9016008 |         16 |             9 |           321 |       45933 |       38744 |          -7189 |  -371293.7300000007
      2001 |  2002 |    9014002 |         14 |             9 |           221 |       50894 |       43779 |          -7115 |   -352823.109999998
      2001 |  2002 |    8013005 |         13 |             9 |           490 |       48591 |       41609 |          -6982 |           -345262.5
      2001 |  2002 |    9005008 |          5 |             9 |           316 |       47104 |       40159 |          -6945 |  -503040.8699999992
      2001 |  2002 |    2004001 |          4 |             9 |           100 |       48195 |       41305 |          -6890 |  -316310.4600000023
      2001 |  2002 |    9012002 |         12 |             9 |           562 |       48567 |       41756 |          -6811 |  -411082.7799999984
      2001 |  2002 |    9002004 |          2 |             9 |            79 |       51393 |       45016 |          -6377 | -136029.09999999916
      2001 |  2002 |    9007004 |          7 |             9 |           110 |       48192 |       41878 |          -6314 | -328604.07000000123
      2001 |  2002 |    9004002 |          4 |             9 |           205 |       47985 |       41671 |          -6314 |          -326778.03
      2001 |  2002 |    9011010 |          1 |             9 |           491 |       47841 |       41537 |          -6304 |  -258212.4400000004
      2001 |  2002 |    4003001 |          3 |             9 |            37 |       46767 |       40467 |          -6300 | -369649.01000000094
      2001 |  2002 |    9009008 |          9 |             9 |           354 |       49197 |       42971 |          -6226 |  -81199.70999999996
      2001 |  2002 |    5004001 |          4 |             9 |           308 |       49692 |       43484 |          -6208 |  -269428.8699999992
      2001 |  2002 |    6013003 |          2 |             9 |           233 |       48440 |       42274 |          -6166 |  -165790.2300000016
      2001 |  2002 |    9015002 |         15 |             9 |           883 |       48110 |       42014 |          -6096 |  -241974.0700000031
      2001 |  2002 |    9004004 |          1 |             9 |           757 |       48444 |       42392 |          -6052 |   -83558.2500000014
      2001 |  2002 |    9008002 |          8 |             9 |           214 |       48026 |       41992 |          -6034 | -141650.02999999933
      2001 |  2002 |    9010004 |          1 |             9 |           366 |       47176 |       41182 |          -5994 |  -209741.2499999993
      2001 |  2002 |    9004002 |          4 |             9 |           273 |       48175 |       42197 |          -5978 |  -299244.8599999994
      2001 |  2002 |    9013008 |         13 |             9 |           651 |       47443 |       41527 |          -5916 | -167100.34000000218
      2001 |  2002 |    9016002 |         16 |             9 |           235 |       48263 |       42361 |          -5902 | -194279.64999999944
      2001 |  2002 |    9003002 |          3 |             9 |           501 |       48974 |       43079 |          -5895 |  -323040.6900000011
      2001 |  2002 |    9005004 |          4 |             9 |           799 |       48480 |       42616 |          -5864 |  -257759.5899999973
      2001 |  2002 |    4003001 |          3 |             9 |           444 |       49868 |       44012 |          -5856 |  -151377.8399999987
      2001 |  2002 |    9006002 |          6 |             9 |           661 |       48426 |       42572 |          -5854 | -154418.91999999993
      2001 |  2002 |    9001004 |          1 |             9 |           306 |       49564 |       43714 |          -5850 | -101049.95000000019
      2001 |  2002 |   10008016 |          5 |             9 |           663 |       46104 |       40275 |          -5829 | -324000.29000000306
      2001 |  2002 |    9015010 |         13 |             9 |           981 |       47138 |       41355 |          -5783 | -226496.82000000193
      2001 |  2002 |    9013008 |         13 |             9 |           871 |       47558 |       41817 |          -5741 |  -392802.0400000012
