     channel     | id  |       sales        |      returns_      |       profit        
-----------------+-----+--------------------+--------------------+---------------------
                 |     | 185883354222.21964 | 3558435878.1399984 | -24562660244.369995
 catalog channel |     |        214400098.5 |       195594677.54 |       -159446186.11
 catalog channel |     |  170476460639.0999 |      3129514840.64 |  -19003359262.96003
 catalog channel |   1 | 11269388591.369946 | 195594677.54000002 |  -1245859144.300002
 catalog channel |   2 | 11543270105.849981 |       195594677.54 | -1279321757.0500028
 catalog channel |   5 | 11378781260.699978 |       195594677.54 | -1240392180.2800019
 catalog channel |   7 | 11274600184.050102 |       195594677.54 |  -1270061988.490007
 catalog channel |   8 | 11446756770.540073 |       195594677.54 | -1261425343.0599968
 catalog channel |  11 | 11314875307.259945 |       195594677.54 | -1281103822.0900028
 catalog channel |  13 | 11304799608.269896 |       195594677.54 | -1242465790.2100036
 catalog channel |  14 |  11320185736.02002 |       195594677.54 | -1241978668.7499962
 catalog channel |  17 | 11403938210.699978 |       195594677.54 |  -1302476594.559994
 catalog channel |  19 | 11266248042.840004 |       195594677.54 | -1244925296.5600007
 catalog channel |  20 | 11295450937.260067 |       195594677.54 | -1227887732.3800008
 catalog channel |  23 | 11407907064.119987 | 195594677.54000002 |  -1263980135.439997
 catalog channel |  25 |  11312716481.21998 | 195594677.54000002 | -1247783851.6299987
 catalog channel |  26 | 11412924752.879972 |       195594677.54 | -1240871497.0899992
 catalog channel |  29 | 11310217487.519962 | 195594677.53999996 | -1253379274.9600039
 store channel   |     |     11295640794.57 |       321247401.18 |  -5083110358.549999
 store channel   |   1 | 55966236.929999985 |  1538658.810000001 | -25039328.050000016
 store channel   |   2 |  55363257.68999994 |  1591655.770000001 | -24758279.370000005
 store channel   |   4 | 54287498.609999955 | 1626022.3699999999 |  -24475474.78000002
 store channel   |   7 |  57344932.22999987 |  1620019.210000001 | -25937776.929999992
 store channel   |   8 | 54952201.249999955 | 1672298.4000000013 | -24712409.780000027
 store channel   |  10 |  56032622.04000005 | 1529981.7199999997 | -24815111.570000015
 store channel   |  13 |  58274415.77999993 | 1599818.9900000005 | -25035600.119999938
 store channel   |  14 | 54688613.290000014 | 1675106.3399999985 |  -24981323.65999997
 store channel   |  16 | 56326692.379999906 | 1505970.2299999997 | -24849421.860000063
 store channel   |  19 |  55106644.17000003 |  1575469.700000001 |  -25029740.30999996
 store channel   |  20 |  55071845.69999994 | 1649458.8799999997 | -24862632.790000025
 store channel   |  22 |  57471999.35000005 |         1623829.99 | -25805753.160000034
 store channel   |  25 |  55902497.79000001 | 1672332.4700000002 | -25255343.269999996
 store channel   |  26 | 54463181.599999994 | 1547752.8699999996 | -24794024.880000018
 store channel   |  28 |  56183231.76999991 | 1561939.1300000004 |  -25382624.11000006
 store channel   |  31 | 56321711.489999935 |         1566650.62 | -25501882.379999965
 store channel   |  32 |  56681148.06999996 | 1672602.3300000005 |        -25601784.71
 store channel   |  34 |  56572024.12000006 | 1534179.8699999996 | -25772533.510000013
 store channel   |  37 |  55359637.20999999 | 1530003.4300000002 |  -24885036.97999998
 store channel   |  38 |        56494716.25 | 1452706.2199999995 |  -25324549.33999997
 store channel   |  40 | 54740515.620000035 | 1519396.2999999996 | -24378578.940000005
 store channel   |  43 | 55923714.589999855 |         1535683.88 | -25456100.160000056
 store channel   |  44 |  55150304.55000014 | 1653386.7300000004 | -25396102.959999952
 store channel   |  46 |  55257394.14999995 | 1716136.0099999993 | -24555273.799999982
 store channel   |  49 |  57825340.17000006 |         1438657.92 | -26144165.889999967
 store channel   |  50 |  55587101.71999994 | 1692736.0000000005 |  -24577346.24000005
 store channel   |  52 |  55143834.91999996 | 1610505.2900000003 | -25218616.709999964
 store channel   |  55 | 55085991.300000116 | 1654069.9300000002 | -25106355.960000012
 store channel   |  56 |  55306624.90000017 | 1650560.5899999999 | -24726161.439999986
 store channel   |  58 |  54493423.50999995 |  1614620.289999999 | -24522394.389999963
 store channel   |  61 | 58233005.209999986 | 1450697.1100000006 | -25891247.679999977
 store channel   |  62 |  57706629.32999995 |  1639109.539999999 |  -25241091.02000001
 store channel   |  64 | 55860138.980000004 | 1587250.5500000003 | -25077877.060000055
 store channel   |  67 | 58712733.860000074 | 1560676.0200000005 |  -26610408.68999999
 store channel   |  68 |  55908852.10999997 | 1579858.3099999996 | -25136890.959999938
 store channel   |  70 | 54944898.849999905 | 1597576.6200000008 |  -24677395.49000003
 store channel   |  73 |   56660373.1799999 | 1630938.1900000009 |        -24974199.86
 store channel   |  74 | 53526395.380000025 | 1522656.0799999991 | -24214418.780000046
 store channel   |  76 |  52681506.59999996 |         1548719.56 | -23841923.269999996
 store channel   |  79 |        56194081.58 | 1528864.3499999996 | -25070080.810000032
 store channel   |  80 |  56562244.54000001 | 1555521.7499999995 |  -24816977.20999997
 store channel   |  82 |  56508319.74999988 | 1501200.4399999997 | -25354944.229999993
 store channel   |  85 |  56661612.75999997 |         1635728.54 |        -25324011.45
 store channel   |  86 |  58467899.26999999 | 1587757.2200000004 | -26331524.480000015
 store channel   |  88 |  54693394.18999998 | 1656841.2200000002 | -23719240.840000004
 store channel   |  91 | 56085787.920000054 | 1600130.4100000004 | -25546149.190000024
 store channel   |  92 |  56074476.42999997 | 1652234.3799999992 | -25877242.769999977
 store channel   |  94 |  56722529.16000031 |         1626142.38 |  -25324111.03999994
 store channel   |  97 |  56955912.80000001 | 1639854.1399999992 | -25283018.919999953
 store channel   |  98 |  57501449.28000012 | 1609247.3500000003 | -26129158.609999977
 store channel   | 100 |  58305352.36000006 | 1719494.1399999997 | -26861921.339999955
 store channel   | 103 | 56338914.870000124 |         1571394.46 | -25585692.420000017
 store channel   | 104 |  55968232.00999989 |         1608582.74 |  -25279019.07000003
 store channel   | 106 |  56224067.96999995 |  1738635.930000001 | -25478486.519999996
 store channel   | 109 |  55866278.53000007 | 1563052.2400000002 | -25060822.620000012
 store channel   | 110 |  55500154.79000004 | 1639484.5499999993 |  -24760955.67999996
 store channel   | 112 | 56657808.709999956 | 1563095.5700000003 | -25513785.320000004
 store channel   | 115 |  55460852.11000018 | 1487631.4299999997 |  -24275060.45999994
 store channel   | 116 |  55575468.54999997 | 1566015.4700000004 | -25053572.560000025
 store channel   | 118 |        56777270.48 | 1609106.7400000012 | -25312352.899999976
