     channel     |              id              |       sales        | returns_ |       profit        
-----------------+------------------------------+--------------------+----------+---------------------
                 |                              | 1274648247.0499995 | 63417291 | -368898600.29999983
 catalog channel |                              | 440613611.88999903 | 22516662 |  -57050687.61999988
 catalog channel | catalog_pageAAAAAAAAAAACAAAA |          282020.02 |    20291 |   4443.269999999993
 catalog channel | catalog_pageAAAAAAAAAABCAAAA | 377782.18999999994 |    25239 |  -7462.510000000013
 catalog channel | catalog_pageAAAAAAAAAAMBAAAA |          628994.38 |    39254 |  -76725.85999999999
 catalog channel | catalog_pageAAAAAAAAABACAAAA |          179982.75 |     3933 | -47580.420000000006
 catalog channel | catalog_pageAAAAAAAAABMBAAAA |  618374.6199999998 |    25875 |  -23739.76000000001
 catalog channel | catalog_pageAAAAAAAAACACAAAA | 254336.07000000004 |     8810 |           -82238.15
 catalog channel | catalog_pageAAAAAAAAACMBAAAA |  636894.2199999999 |    25108 | -13664.809999999996
 catalog channel | catalog_pageAAAAAAAAADACAAAA |          296111.63 |    25570 | -60598.899999999994
 catalog channel | catalog_pageAAAAAAAAADLBAAAA |         1281114.85 |    67875 |          -126626.76
 catalog channel | catalog_pageAAAAAAAAADMBAAAA |  535961.9299999999 |    20817 |          -132960.94
 catalog channel | catalog_pageAAAAAAAAAEACAAAA |           202502.1 |    13030 | -44987.649999999994
 catalog channel | catalog_pageAAAAAAAAAELBAAAA |         1219205.44 |    56516 | -134309.20999999996
 catalog channel | catalog_pageAAAAAAAAAEMBAAAA |          650693.24 |    21288 |  -8957.489999999998
 catalog channel | catalog_pageAAAAAAAAAFACAAAA | 371900.45999999996 |    15123 | -59936.749999999985
 catalog channel | catalog_pageAAAAAAAAAFLBAAAA |          1179384.8 |    73236 | -157976.62000000002
 catalog channel | catalog_pageAAAAAAAAAFMBAAAA |  615957.1700000002 |    38951 |  -51284.51000000001
 catalog channel | catalog_pageAAAAAAAAAGACAAAA |          373174.74 |     9626 |  -28705.55999999999
 catalog channel | catalog_pageAAAAAAAAAGLBAAAA | 1304721.7200000002 |    54119 |  -87095.23999999998
 catalog channel | catalog_pageAAAAAAAAAGMBAAAA |  555283.9299999999 |    26482 |  -45084.31000000001
 catalog channel | catalog_pageAAAAAAAAAHACAAAA |          351814.96 |    17808 |  29019.299999999996
 catalog channel | catalog_pageAAAAAAAAAHLBAAAA |          1202808.4 |    57844 | -190607.44999999995
 catalog channel | catalog_pageAAAAAAAAAHMBAAAA |          537333.81 |    30934 | -142066.81000000003
 catalog channel | catalog_pageAAAAAAAAAIACAAAA | 433598.44000000006 |     8352 |   7880.080000000007
 catalog channel | catalog_pageAAAAAAAAAILBAAAA | 1339700.2099999995 |    69281 | -126628.96999999994
 catalog channel | catalog_pageAAAAAAAAAIMBAAAA |           529797.9 |    17496 |           -70258.33
 catalog channel | catalog_pageAAAAAAAAAJACAAAA | 304700.41000000003 |     8981 | -20819.829999999998
 catalog channel | catalog_pageAAAAAAAAAJLBAAAA | 1150795.2000000002 |    50185 |          -252214.87
 catalog channel | catalog_pageAAAAAAAAAJMBAAAA |          541442.04 |    14469 |           -51223.61
 catalog channel | catalog_pageAAAAAAAAAKACAAAA |          337694.09 |    14362 |  -84248.47999999998
 catalog channel | catalog_pageAAAAAAAAAKLBAAAA |          1342294.9 |    43415 | -101088.18999999997
 catalog channel | catalog_pageAAAAAAAAAKMBAAAA |          551095.45 |    17542 | -103385.29000000001
 catalog channel | catalog_pageAAAAAAAAAKPBAAAA | 228813.56000000003 |    14548 |           -51974.98
 catalog channel | catalog_pageAAAAAAAAALACAAAA |          323210.84 |     7531 |  3432.2499999999945
 catalog channel | catalog_pageAAAAAAAAALLBAAAA |         1118656.97 |    58763 |           -99883.47
 catalog channel | catalog_pageAAAAAAAAALPBAAAA | 245891.80000000005 |     8566 |  -53079.07000000001
 catalog channel | catalog_pageAAAAAAAAAMACAAAA | 385415.20999999996 |    36673 | -33940.270000000004
 catalog channel | catalog_pageAAAAAAAAAMLBAAAA |         1057388.31 |    39373 |          -122656.16
 catalog channel | catalog_pageAAAAAAAAAMPBAAAA | 227197.18000000005 |     7527 |  -41754.10000000001
 catalog channel | catalog_pageAAAAAAAAANACAAAA | 337578.93999999994 |    26004 |  -62209.32999999999
 catalog channel | catalog_pageAAAAAAAAANLBAAAA | 1154006.6599999995 |    29931 | -159799.38999999998
 catalog channel | catalog_pageAAAAAAAAANPBAAAA | 202226.38999999998 |     3398 |  -69876.70999999999
 catalog channel | catalog_pageAAAAAAAAAOACAAAA |          394125.97 |    36463 |  -24876.38000000001
 catalog channel | catalog_pageAAAAAAAAAOLBAAAA | 1244560.4699999997 |    45861 | -139181.46999999997
 catalog channel | catalog_pageAAAAAAAAAOPBAAAA | 235217.91000000003 |    11004 |   4626.619999999997
 catalog channel | catalog_pageAAAAAAAAAPACAAAA |          286867.76 |    27509 |           -59433.27
 catalog channel | catalog_pageAAAAAAAAAPLBAAAA |  582912.4600000002 |    21713 |  -60494.53999999999
 catalog channel | catalog_pageAAAAAAAAAPPBAAAA | 254775.30000000005 |     9174 |           -54242.54
 catalog channel | catalog_pageAAAAAAAABAACAAAA |          297390.99 |    11498 |  -39981.05000000001
 catalog channel | catalog_pageAAAAAAAABABCAAAA |           243244.9 |    18076 |  -48747.85999999999
 catalog channel | catalog_pageAAAAAAAABAMBAAAA |  691956.1499999999 |    20145 |           -67641.46
 catalog channel | catalog_pageAAAAAAAABBACAAAA |          243210.67 |    22277 |  -63744.57000000001
 catalog channel | catalog_pageAAAAAAAABBMBAAAA | 520994.67999999993 |    29884 |  -52484.15000000001
 catalog channel | catalog_pageAAAAAAAABCACAAAA |          315181.37 |    19780 | -15513.859999999997
 catalog channel | catalog_pageAAAAAAAABCMBAAAA |          586433.03 |    27037 |  -89526.31000000003
 catalog channel | catalog_pageAAAAAAAABDACAAAA |          258586.01 |    15175 |  16572.769999999997
 catalog channel | catalog_pageAAAAAAAABDLBAAAA |          1238681.4 |    67715 |           -218310.8
 catalog channel | catalog_pageAAAAAAAABDMBAAAA |  540411.7499999999 |    40585 |  -84702.58000000002
 catalog channel | catalog_pageAAAAAAAABEACAAAA |           234856.7 |     6768 | -52677.409999999996
 catalog channel | catalog_pageAAAAAAAABELBAAAA | 1167621.3800000004 |    54611 |          -221748.78
 catalog channel | catalog_pageAAAAAAAABEMBAAAA | 488686.27999999997 |    19764 |  -57982.49000000002
 catalog channel | catalog_pageAAAAAAAABFACAAAA |          280677.09 |     6261 | -28949.370000000003
 catalog channel | catalog_pageAAAAAAAABFLBAAAA |         1118135.68 |    80294 | -196455.62000000005
 catalog channel | catalog_pageAAAAAAAABFMBAAAA |  628600.5199999999 |    38873 |  -75123.45999999999
 catalog channel | catalog_pageAAAAAAAABGACAAAA | 426819.18000000005 |     5955 |  -7039.760000000004
 catalog channel | catalog_pageAAAAAAAABGLBAAAA | 1120926.0399999998 |    41126 | -133455.36999999997
 catalog channel | catalog_pageAAAAAAAABGMBAAAA |  703184.3300000002 |    68543 |  -97487.58000000005
 catalog channel | catalog_pageAAAAAAAABHACAAAA |          312571.62 |    27051 |           -50275.09
 catalog channel | catalog_pageAAAAAAAABHLBAAAA | 1197897.5400000003 |    58446 | -106138.24000000002
 catalog channel | catalog_pageAAAAAAAABHMBAAAA |          645687.23 |    37214 |           -35737.45
 catalog channel | catalog_pageAAAAAAAABIACAAAA |          321626.27 |    24007 | -22122.679999999997
 catalog channel | catalog_pageAAAAAAAABILBAAAA |         1279785.66 |    65784 | -136590.87999999998
 catalog channel | catalog_pageAAAAAAAABIMBAAAA |  539597.9700000002 |    20702 |           -77195.57
 catalog channel | catalog_pageAAAAAAAABJACAAAA |           283329.7 |    17201 |  -78047.95000000001
 catalog channel | catalog_pageAAAAAAAABJLBAAAA | 1170023.8699999996 |    56322 |          -188616.68
 catalog channel | catalog_pageAAAAAAAABJMBAAAA |  499231.1600000001 |    42982 |          -118044.65
 catalog channel | catalog_pageAAAAAAAABKACAAAA |          273035.78 |    10112 |           -88676.79
 catalog channel | catalog_pageAAAAAAAABKLBAAAA | 1109475.7200000002 |    52467 | -190269.26000000007
 catalog channel | catalog_pageAAAAAAAABKMBAAAA |  565155.3399999999 |    26089 | -7399.3800000000065
 catalog channel | catalog_pageAAAAAAAABKPBAAAA |          274776.94 |    18073 |  -29303.25000000001
 catalog channel | catalog_pageAAAAAAAABLACAAAA |           300292.4 |    26584 |           -25269.29
 catalog channel | catalog_pageAAAAAAAABLLBAAAA | 1151238.5799999998 |    50381 |          -183775.56
 catalog channel | catalog_pageAAAAAAAABLPBAAAA |          179351.76 |    13228 |  -75905.21000000002
 catalog channel | catalog_pageAAAAAAAABMACAAAA | 346003.04999999993 |    19184 | -20158.519999999997
 catalog channel | catalog_pageAAAAAAAABMLBAAAA | 1262819.9900000002 |    42620 | -178105.45999999996
 catalog channel | catalog_pageAAAAAAAABMPBAAAA | 243814.81000000003 |    14046 | -58797.889999999985
 catalog channel | catalog_pageAAAAAAAABNACAAAA |          295039.69 |     6783 | -35229.600000000006
 catalog channel | catalog_pageAAAAAAAABNLBAAAA |          1139004.5 |    77916 |  -172433.0199999999
 catalog channel | catalog_pageAAAAAAAABNPBAAAA | 255273.40000000002 |    23754 |   2778.220000000004
 catalog channel | catalog_pageAAAAAAAABOACAAAA |          309287.91 |    38427 |           -53356.94
 catalog channel | catalog_pageAAAAAAAABOLBAAAA |         1150770.55 |    60714 | -181223.59999999998
 catalog channel | catalog_pageAAAAAAAABOPBAAAA |          330626.97 |     4302 |  -9766.540000000005
 catalog channel | catalog_pageAAAAAAAABPACAAAA | 314812.70000000007 |    21727 |  -66519.93999999999
 catalog channel | catalog_pageAAAAAAAABPLBAAAA |  561518.6600000001 |    13023 |  -93974.00999999998
 catalog channel | catalog_pageAAAAAAAABPPBAAAA |          240719.88 |     5904 |           -30381.18
 catalog channel | catalog_pageAAAAAAAACAACAAAA | 216985.45999999996 |    24307 | -36841.770000000004
 catalog channel | catalog_pageAAAAAAAACABCAAAA | 339853.00000000006 |    14489 |           -31027.54
 catalog channel | catalog_pageAAAAAAAACAMBAAAA |  667313.4100000001 |    19364 | -31120.859999999986
 catalog channel | catalog_pageAAAAAAAACBACAAAA | 253571.02999999997 |     3905 |            -30655.6
(100 rows)

