     total_sum      | i_category  |     i_class     | lochierarchy | rank_within_parent | case  
--------------------+-------------+-----------------+--------------+--------------------+-------
  33198941642.93998 |             |                 |            2 |                  1 | 
      3362668983.44 | Sports      |                 |            1 |                  1 | 
 3326230218.9600067 | Children    |                 |            1 |                  2 | 
 3322426297.9799924 | Women       |                 |            1 |                  3 | 
 3322357618.8100023 | Electronics |                 |            1 |                  4 | 
 3313717334.8600016 | Music       |                 |            1 |                  5 | 
  3313356205.320001 | Books       |                 |            1 |                  6 | 
  3295907951.769998 | Home        |                 |            1 |                  7 | 
 3294344966.0200024 | Shoes       |                 |            1 |                  8 | 
  3283901669.260001 | Jewelry     |                 |            1 |                  9 | 
  3280370106.399989 | Men         |                 |            1 |                 10 | 
  83660290.11999997 |             |                 |            1 |                 11 | 
  42471805.74999998 |             |                 |            0 |                  1 | 
  1998229.870000002 |             | dresses         |            0 |                  2 | 
 1943976.9799999993 |             | swimwear        |            0 |                  3 | 
 1666085.2399999998 |             | womens          |            0 |                  4 | 
         1646554.31 |             | fragrances      |            0 |                  5 | 
         1635493.28 |             | athletic        |            0 |                  6 | 
 1396655.3399999994 |             | toddlers        |            0 |                  7 | 
 1339466.0300000003 |             | pants           |            0 |                  8 | 
         1328477.41 |             | newborn         |            0 |                  9 | 
 1208893.6500000004 |             | shirts          |            0 |                 10 | 
 1078947.1400000001 |             | history         |            0 |                 11 | 
  989749.3600000001 |             | country         |            0 |                 12 | 
          942108.73 |             | mens            |            0 |                 13 | 
  927681.3999999999 |             | classical       |            0 |                 14 | 
          846775.26 |             | sports-apparel  |            0 |                 15 | 
  765114.6999999997 |             | rock            |            0 |                 16 | 
  744611.3400000001 |             | memory          |            0 |                 17 | 
  738591.1499999999 |             | business        |            0 |                 18 | 
  733046.6900000001 |             | basketball      |            0 |                 19 | 
  709032.5499999996 |             | infants         |            0 |                 20 | 
  705455.3500000001 |             | pendants        |            0 |                 21 | 
          675903.16 |             | loose stones    |            0 |                 22 | 
  675230.9400000002 |             | earings         |            0 |                 23 | 
  669896.1999999997 |             | baseball        |            0 |                 24 | 
          590604.69 |             | archery         |            0 |                 25 | 
  588892.9100000001 |             | custom          |            0 |                 26 | 
  586015.1099999998 |             | reference       |            0 |                 27 | 
          577419.38 |             | pop             |            0 |                 28 | 
  571929.6199999999 |             | diamonds        |            0 |                 29 | 
 437272.37000000017 |             | fitness         |            0 |                 30 | 
          418661.98 |             | accessories     |            0 |                 31 | 
          410068.81 |             | tennis          |            0 |                 32 | 
 391592.01999999996 |             | maternity       |            0 |                 33 | 
  388662.7999999998 |             | mystery         |            0 |                 34 | 
          385810.93 |             | glassware       |            0 |                 35 | 
 380837.74000000005 |             | entertainments  |            0 |                 36 | 
          375212.67 |             | school-uniforms |            0 |                 37 | 
  362707.4999999999 |             | curtains/drapes |            0 |                 38 | 
 359753.82000000007 |             | televisions     |            0 |                 39 | 
          348284.03 |             | outdoor         |            0 |                 40 | 
 346374.87999999995 |             | wallpaper       |            0 |                 41 | 
          344339.43 |             | decor           |            0 |                 42 | 
 341987.89999999997 |             | lighting        |            0 |                 43 | 
 337748.04999999993 |             | travel          |            0 |                 44 | 
 336158.86000000004 |             | estate          |            0 |                 45 | 
  335848.0999999999 |             | mens watch      |            0 |                 46 | 
 334154.70999999996 |             | tables          |            0 |                 47 | 
  333829.4600000002 |             | bracelets       |            0 |                 48 | 
 333483.33000000013 |             | accent          |            0 |                 49 | 
 329687.79999999993 |             | camping         |            0 |                 50 | 
 326247.52999999997 |             | monitors        |            0 |                 51 | 
 325947.25999999995 |             | disk drives     |            0 |                 52 | 
  324196.7699999999 |             | self-help       |            0 |                 53 | 
 319078.56000000023 |             | dvd/vcr players |            0 |                 54 | 
  316462.0399999999 |             | computers       |            0 |                 55 | 
 306255.42000000004 |             | semi-precious   |            0 |                 56 | 
 305722.27999999997 |             | arts            |            0 |                 57 | 
 300362.36999999976 |             | portable        |            0 |                 58 | 
 296088.38000000006 |             | rugs            |            0 |                 59 | 
  295868.6600000001 |             | womens watch    |            0 |                 60 | 
  288928.8400000002 |             | athletic shoes  |            0 |                 61 | 
 287394.06000000006 |             | guns            |            0 |                 62 | 
 284065.37000000005 |             | romance         |            0 |                 63 | 
  283431.1599999999 |             | musical         |            0 |                 64 | 
 281032.17999999993 |             | scanners        |            0 |                 65 | 
 254460.53000000003 |             | science         |            0 |                 66 | 
 242466.16999999993 |             | flatware        |            0 |                 67 | 
 231876.20999999996 |             | stereo          |            0 |                 68 | 
            2287.39 |             | bedding         |            0 |                 69 | 
 1865.1299999999999 |             | mattresses      |            0 |                 70 | 
            1034.28 |             | pools           |            0 |                 71 | 
               98.8 |             | furniture       |            0 |                 72 | 
  219050351.4000005 | Books       | history         |            0 |                  1 | Books
  214638703.5800003 | Books       | entertainments  |            0 |                  2 | Books
  213999906.9800001 | Books       | reference       |            0 |                  3 | Books
  213003587.8399999 | Books       | fiction         |            0 |                  4 | Books
 210406628.74000102 | Books       | travel          |            0 |                  5 | Books
  209607409.5500003 | Books       | home repair     |            0 |                  6 | Books
 208337086.98000032 | Books       | romance         |            0 |                  7 | Books
 207533890.50999972 | Books       | parenting       |            0 |                  8 | Books
 207196147.83000112 | Books       | sports          |            0 |                  9 | Books
 206587244.16999963 | Books       | self-help       |            0 |                 10 | Books
 205490731.00999975 | Books       | cooking         |            0 |                 11 | Books
 202471452.82000065 | Books       | arts            |            0 |                 12 | Books
  202003628.9400007 | Books       | science         |            0 |                 13 | Books
 198013944.62000036 | Books       | business        |            0 |                 14 | Books
  196234147.1499999 | Books       | computers       |            0 |                 15 | Books
 193466087.70999962 | Books       | mystery         |            0 |                 16 | Books
(100 rows)

