 i_category  |  i_class  |        i_brand        | s_store_name | s_company_name | d_moy |     sum_sales      | avg_monthly_sales  |      ?column?       
-------------+-----------+-----------------------+--------------+----------------+-------+--------------------+--------------------+---------------------
 Jewelry     | birdal    | amalgcorp #5          | eing         | Unknown        |     2 | 11019.230000000001 | 24743.080000000005 | -13723.850000000004
 Books       | computers | exportimaxi #5        | able         | Unknown        |     4 |           12940.46 | 25922.906666666666 | -12982.446666666667
 Books       | computers | exportimaxi #8        | bar          | Unknown        |     2 | 10745.870000000003 | 23462.444166666668 | -12716.574166666665
 Jewelry     | birdal    | amalgcorp #5          | eing         | Unknown        |     4 |           12161.33 | 24743.080000000005 | -12581.750000000005
 Books       | computers | exportimaxi #8        | able         | Unknown        |     6 |           10815.92 | 23336.625833333335 | -12520.705833333335
 Books       | computers | exportimaxi #5        | cally        | Unknown        |     2 |           10777.18 | 22964.471666666668 | -12187.291666666668
 Jewelry     | birdal    | amalgcorp #5          | cally        | Unknown        |     2 | 10222.329999999996 | 22257.479166666668 | -12035.149166666672
 Books       | computers | exportimaxi #9        | able         | Unknown        |     2 |  8043.519999999999 |         20042.1125 |         -11998.5925
 Books       | computers | exportimaxi #2        | able         | Unknown        |     2 |           10613.11 | 22153.965833333335 | -11540.855833333335
 Jewelry     | birdal    | amalgcorp #7          | eing         | Unknown        |     2 |           11227.46 |  22740.46416666666 | -11513.004166666662
 Books       | computers | exportimaxi #2        | eing         | Unknown        |     2 | 10839.590000000002 |  22325.63666666667 | -11486.046666666667
 Jewelry     | birdal    | amalgcorp #1          | bar          | Unknown        |     5 | 10574.070000000002 |  21856.42583333334 | -11282.355833333337
 Sports      | football  | corpnameless #9       | able         | Unknown        |     2 |            7639.57 | 18342.487500000003 | -10702.917500000003
 Books       | computers | exportimaxi #2        | cally        | Unknown        |     2 |            9836.14 | 20472.618333333336 | -10636.478333333336
 Books       | computers | exportimaxi #3        | bar          | Unknown        |     2 |            9165.98 |         19597.2375 |         -10431.2575
 Books       | computers | exportimaxi #9        | eing         | Unknown        |     6 |  9713.560000000001 | 20127.940000000006 | -10414.380000000005
 Jewelry     | birdal    | amalgcorp #3          | bar          | Unknown        |     2 |            9242.88 |  19625.69166666667 |  -10382.81166666667
 Sports      | football  | corpnameless #5       | ese          | Unknown        |     2 |            8433.22 |          18569.775 | -10136.555000000002
 Sports      | football  | corpnameless #5       | able         | Unknown        |     2 |            9540.57 | 19470.590833333332 |  -9930.020833333332
 Books       | computers | exportimaxi #3        | ese          | Unknown        |     2 |  9640.349999999999 | 19489.838333333337 |  -9849.488333333338
 Sports      | football  | corpnameless #3       | able         | Unknown        |     6 |  7358.809999999999 |          17086.985 |  -9728.175000000003
 Sports      | football  | corpnameless #5       | eing         | Unknown        |     2 |  9544.510000000002 | 19244.070833333335 |  -9699.560833333333
 Sports      | football  | corpnameless #9       | bar          | Unknown        |     2 |  8943.570000000002 | 18577.433333333334 |  -9633.863333333333
 Sports      | football  | corpnameless #5       | ese          | Unknown        |     4 |            9100.07 |          18569.775 |  -9469.705000000002
 Sports      | football  | corpnameless #3       | eing         | Unknown        |     2 | 8156.4000000000015 | 17618.670833333337 |  -9462.270833333336
 Sports      | football  | corpnameless #9       | able         | Unknown        |     6 |  8976.890000000001 | 18342.487500000003 |  -9365.597500000002
 Sports      | football  | corpnameless #9       | eing         | Unknown        |     6 |  9155.840000000004 |  18495.24916666667 |  -9339.409166666665
 Sports      | football  | corpnameless #3       | bar          | Unknown        |     2 |  7730.490000000001 |           16764.34 |  -9033.849999999999
 Sports      | football  | corpnameless #9       | ese          | Unknown        |     3 |  8911.529999999999 |         17915.7675 |  -9004.237500000003
 Sports      | football  | corpnameless #1       | ese          | Unknown        |     4 |  7511.729999999999 | 15799.182499999997 |          -8287.4525
 Jewelry     | birdal    | amalgcorp #2          | able         | Unknown        |     3 |  6244.629999999999 | 13799.994999999997 |  -7555.364999999998
 Jewelry     | birdal    | amalgcorp #2          | cally        | Unknown        |     2 |            5493.85 | 12841.590833333334 |  -7347.740833333333
 Jewelry     | birdal    | amalgcorp #7          | ation        | Unknown        |     2 |  4432.959999999999 | 11601.253333333332 |  -7168.293333333333
 Books       | computers | exportimaxi #5        | ought        | Unknown        |     2 | 5451.0999999999985 | 12586.756666666668 | -7135.6566666666695
 Women       | dresses   | amalgamalg #1         |              | Unknown        |     4 |            6561.36 | 13693.765833333337 |  -7132.405833333337
 Jewelry     | birdal    | amalgcorp #2          | eing         | Unknown        |     7 |  6529.889999999999 | 13623.569166666666 |  -7093.679166666667
