 d_year | brand_id |         brand          |      sum_agg       
--------+----------+------------------------+--------------------
   1998 |  2001001 | amalgimporto #1        | 1339035.3499999992
   1998 |  3003001 | exportiexporti #1      | 1072204.5199999996
   1998 |  1004001 | edu packamalg #1       |  988159.4099999997
   1998 |  5001001 | amalgscholar #1        |           917704.2
   1998 |  3004001 | edu packexporti #1     |          886708.45
   1998 |  5003001 | exportischolar #1      |           871115.7
   1998 |  3002001 | importoexporti #1      |  804516.5199999998
   1998 |  4004001 | edu packedu pack #1    |          583464.81
   1998 |  2002001 | importoimporto #1      |  501574.2400000001
   1998 |  4002001 | importoedu pack #1     |  472341.8600000002
   1998 |  2004001 | edu packimporto #1     |  467519.8400000001
   1998 |  1003001 | exportiamalg #1        |           463244.9
   1998 |  5002002 | importoscholar #2      |          456491.28
   1998 |  5002001 | importoscholar #1      |          455276.67
   1998 |  2002002 | importoimporto #2      |  447089.2699999999
   1998 |  6006007 | corpcorp #7            | 380267.57999999996
   1998 |  2004002 | edu packimporto #2     | 373399.31000000006
   1998 |  9009003 | maximaxi #3            |  363080.7099999999
   1998 |  9009005 | maximaxi #5            | 360334.67000000004
   1998 |  3001002 | amalgexporti #2        | 351864.82000000007
   1998 |  3001001 | amalgexporti #1        |  342802.6000000001
   1998 |  1004002 | edu packamalg #2       | 338920.77999999985
   1998 |  4004002 | edu packedu pack #2    |          331848.52
   1998 |  5004001 | edu packscholar #1     |          328501.82
   1998 |  5003002 | exportischolar #2      |          325689.52
   1998 |  2003002 | exportiimporto #2      | 316204.24999999994
   1998 |  1001001 | amalgamalg #1          | 316048.15000000014
   1998 |  4003002 | exportiedu pack #2     |  314237.1800000001
   1998 |  6003004 | exporticorp #4         | 288521.06999999995
   1998 |  1003002 | exportiamalg #2        |  280000.7100000001
   1998 |  9004003 | edu packmaxi #3        | 278138.70000000007
   1998 |  4003001 | exportiedu pack #1     | 271442.93999999994
   1998 | 10001002 | amalgunivamalg #2      | 214438.01000000004
   1998 |  3002002 | importoexporti #2      | 209082.84999999992
   1998 | 10010006 | univamalgamalg #6      | 207503.46000000008
   1998 |  8012004 | importomaxi #4         | 204254.28000000014
   1998 |  6006003 | corpcorp #3            | 203333.01999999996
   1998 |  8007005 | brandnameless #5       | 198899.47999999998
   1998 |  6010002 | univbrand #2           | 198714.55000000005
   1998 | 10007010 | brandunivamalg #10     | 197322.72000000003
   1998 | 10001011 | amalgunivamalg #11     | 195643.44999999995
   1998 | 10012015 | importoamalgamalg #15  |          194905.55
   1998 |  2003001 | exportiimporto #1      | 194572.38000000006
   1998 |  9012002 | importounivamalg #2    |          193926.02
   1998 |  6016004 | corpbrand #4           | 190977.39999999997
   1998 |  9007003 | brandmaxi #3           | 189752.41999999998
   1998 |  7003002 | exportibrand #2        | 188970.05000000005
   1998 |  7008001 | namelessbrand #1       |          186420.59
   1998 | 10007004 | brandunivamalg #4      | 186090.42000000004
   1998 |  6003007 | exporticorp #7         | 185659.75999999998
   1998 | 10006004 | corpunivamalg #4       | 185323.47999999995
   1998 |  6008003 | namelesscorp #3        | 184749.43000000005
   1998 |  6015001 | scholarbrand #1        | 181875.63999999996
   1998 |  7004007 | edu packbrand #7       | 181634.58999999994
   1998 | 10016004 | corpamalgamalg #4      |  180031.5100000001
   1998 |  6011001 | amalgbrand #1          | 179791.24000000005
   1998 |  7013005 | exportinameless #5     | 177581.46999999994
   1998 |  7016005 | corpnameless #5        |  177331.9300000001
   1998 | 10004011 | edu packunivamalg #11  |          177212.57
   1998 | 10011007 | amalgamalgamalg #7     |          176765.79
   1998 | 10014015 | edu packamalgamalg #15 |          172627.26
   1998 |  8015003 | scholarmaxi #3         | 172295.19000000006
   1998 |  8011009 | amalgmaxi #9           | 172133.91999999998
   1998 |  6010003 | univbrand #3           | 171568.31000000006
   1998 |  6014001 | edu packbrand #1       | 171458.19999999995
   1998 |  7008005 | namelessbrand #5       | 171403.52999999997
   1998 |  8009009 | maxinameless #9        |          170921.28
   1998 | 10010014 | univamalgamalg #14     | 169701.36000000002
   1998 |  3003002 | exportiexporti #2      |          169204.76
   1998 |  4002002 | importoedu pack #2     |          168674.52
   1998 |  8005003 | scholarnameless #3     | 168273.84999999995
   1998 |  7014007 | edu packnameless #7    |          164781.68
   1998 |  7008002 | namelessbrand #2       | 163871.68999999997
   1998 |  6001006 | amalgcorp #6           | 162140.78999999995
   1998 |  9005009 | scholarmaxi #9         | 161701.27000000008
   1998 |  6004008 | edu packcorp #8        | 161583.56999999998
   1998 |  7009008 | maxibrand #8           |          161184.92
   1998 |  6009002 | maxicorp #2            | 160627.06999999998
   1998 |  8013008 | exportimaxi #8         | 160325.33000000007
   1998 | 10003017 | exportiunivamalg #17   |          160310.52
   1998 |  8002002 | importonameless #2     | 160254.22000000003
   1998 | 10010007 | univamalgamalg #7      | 160147.25000000006
   1998 |  7003009 | exportibrand #9        | 159984.15000000014
   1998 |  8016003 | corpmaxi #3            |          156992.67
   1998 |  6015008 | scholarbrand #8        |          155399.97
   1998 | 10003008 | exportiunivamalg #8    |          151915.26
   1998 |  8001009 | amalgnameless #9       | 151647.15000000005
   1998 |  9001005 | amalgmaxi #5           | 150409.52000000002
   1998 | 10007014 | brandunivamalg #14     | 148028.37999999998
   1998 |  1001002 | amalgamalg #2          |           147140.7
   1998 |  8009007 | maxinameless #7        |          146430.43
   1998 |  6012005 | importobrand #5        |          145531.16
   1998 |  9007009 | brandmaxi #9           | 141949.86000000004
   1998 |  6006001 | corpcorp #1            |          141796.19
   1998 |  7007010 | brandbrand #10         |          140750.56
   1998 |  8013001 | exportimaxi #1         |          139267.32
   1998 |  8012009 | importomaxi #9         | 136215.24999999994
   1998 | 10001013 | amalgunivamalg #13     | 135814.60999999996
   1998 |  8002005 | importonameless #5     | 134297.53000000006
   1998 |  8013003 | exportimaxi #3         |          134250.61
(100 rows)

