 brand_id |         brand         | i_manufact_id |   i_manufact    |     ext_price      
----------+-----------------------+---------------+-----------------+--------------------
  1003001 | exportiamalg #1       |           162 | ablecallyought  | 381293.33999999997
  3002002 | importoexporti #2     |           581 | oughteinganti   |          368790.17
  4004001 | edu packedu pack #1   |           257 | ationantiable   | 345807.20999999996
  3002001 | importoexporti #1     |           287 | ationeingable   |          330794.35
  1001001 | amalgamalg #1         |           644 | eseesecally     | 330487.58999999997
  1002001 | importoamalg #1       |           126 | callyableought  |           325859.3
  3003002 | exportiexporti #2     |           161 | oughtcallyought | 324746.81999999995
  5002002 | importoscholar #2     |           503 | pribaranti      | 317177.81000000006
  1004001 | edu packamalg #1      |           222 | ableableable    | 314327.74999999994
  2002001 | importoimporto #1     |           186 | callyeingought  |          311620.01
  3003002 | exportiexporti #2     |           217 | ationoughtable  | 310753.52999999997
  3003001 | exportiexporti #1     |           264 | esecallyable    | 307686.61000000004
  3001001 | amalgexporti #1       |             6 | cally           |          302818.92
  2002001 | importoimporto #1     |           100 | barbarought     |          301310.99
  2004001 | edu packimporto #1    |           331 | oughtpripri     |          295748.22
  3003001 | exportiexporti #1     |           209 | n stbarable     |          286656.37
  2002001 | importoimporto #1     |           179 | n stationought  |          283047.13
  1003002 | exportiamalg #2       |           400 | barbarese       | 243652.22000000003
  9013005 | exportiunivamalg #5   |           586 | callyeinganti   |          232003.74
  1004002 | edu packamalg #2      |           297 | ationn stable   | 230980.03000000003
  6016007 | corpbrand #7          |           185 | antieingought   |          227243.26
  5003001 | exportischolar #1     |            41 | oughtese        |          225648.71
  8005007 | scholarnameless #7    |            26 | callyable       |          225240.53
  1003001 | exportiamalg #1       |           666 | callycallycally |          225185.19
  3003001 | exportiexporti #1     |           456 | callyantiese    |          224362.23
  1002002 | importoamalg #2       |           342 | ableesepri      |          224177.29
  1003002 | exportiamalg #2       |           812 | ableoughteing   | 224068.21000000002
  5004001 | edu packscholar #1    |           595 | antin stanti    |          223132.75
  4004001 | edu packedu pack #1   |           286 | callyeingable   |          222180.75
