     gross_margin     | i_category  |     i_class     | lochierarchy | rank_within_parent 
----------------------+-------------+-----------------+--------------+--------------------
  -0.4335017162311522 |             |                 |            2 |                  1
  -0.4397246013455678 |             |                 |            1 |                  1
  -0.4356670837684129 | Shoes       |                 |            1 |                  2
  -0.4351032349904669 | Books       |                 |            1 |                  3
 -0.43491158865099505 | Men         |                 |            1 |                  4
 -0.43420338115192797 | Children    |                 |            1 |                  5
 -0.43410658187630113 | Women       |                 |            1 |                  6
  -0.4338764550678254 | Home        |                 |            1 |                  7
 -0.43285020143120545 | Jewelry     |                 |            1 |                  8
   -0.431933096677684 | Electronics |                 |            1 |                  9
 -0.43130616763129465 | Music       |                 |            1 |                 10
  -0.4309662971359849 | Sports      |                 |            1 |                 11
  -0.7874114887204807 |             | business        |            0 |                  1
  -0.7586335102941005 |             | school-uniforms |            0 |                  2
  -0.7087430800879851 |             | wallpaper       |            0 |                  3
  -0.6843647284561516 |             | golf            |            0 |                  4
  -0.6681058096616556 |             | pendants        |            0 |                  5
  -0.6671382824197302 |             | fitness         |            0 |                  6
  -0.6237217987128845 |             | rock            |            0 |                  7
  -0.6139819015490877 |             | optics          |            0 |                  8
  -0.5770407096442892 |             | rugs            |            0 |                  9
  -0.5725486849995154 |             | custom          |            0 |                 10
    -0.56982245191688 |             | entertainments  |            0 |                 11
  -0.5693885441831549 |             | memory          |            0 |                 12
    -0.56644419682057 |             | camcorders      |            0 |                 13
  -0.5653297431614933 |             | dresses         |            0 |                 14
  -0.5358001101040777 |             | monitors        |            0 |                 15
  -0.5060800031058146 |             | pants           |            0 |                 16
  -0.4897040725301654 |             | guns            |            0 |                 17
  -0.4819767794047925 |             | baseball        |            0 |                 18
 -0.46388561361179664 |             | self-help       |            0 |                 19
 -0.46299593800299504 |             | fragrances      |            0 |                 20
  -0.4618152315576456 |             | classical       |            0 |                 21
  -0.4572536681180631 |             | lighting        |            0 |                 22
   -0.449647193012071 |             |                 |            0 |                 23
 -0.44608425095517934 |             | kids            |            0 |                 24
 -0.44187595866451596 |             | diamonds        |            0 |                 25
  -0.4395740997923109 |             | womens          |            0 |                 26
 -0.43943096201924164 |             | mens            |            0 |                 27
  -0.4362594134967133 |             | dvd/vcr players |            0 |                 28
 -0.43341850018994843 |             | scanners        |            0 |                 29
 -0.43037603942406927 |             | flatware        |            0 |                 30
 -0.42421608633345903 |             | swimwear        |            0 |                 31
 -0.41889282179607695 |             | womens watch    |            0 |                 32
  -0.4125582755912463 |             | camping         |            0 |                 33
  -0.4085706331996466 |             | stereo          |            0 |                 34
 -0.40179696457971154 |             | newborn         |            0 |                 35
  -0.4014742607902734 |             | karoke          |            0 |                 36
 -0.39849478074044997 |             | sports-apparel  |            0 |                 37
 -0.39400834877381957 |             | tables          |            0 |                 38
   -0.392870724785246 |             | birdal          |            0 |                 39
  -0.3909619284325535 |             | archery         |            0 |                 40
  -0.3895721044556721 |             | history         |            0 |                 41
 -0.38838280715858037 |             | accent          |            0 |                 42
  -0.3876525825175494 |             | earings         |            0 |                 43
 -0.38512545192032355 |             | bracelets       |            0 |                 44
  -0.3763291592848866 |             | infants         |            0 |                 45
  -0.3699550601127449 |             | parenting       |            0 |                 46
 -0.36741982702311343 |             | glassware       |            0 |                 47
 -0.36513180572230985 |             | computers       |            0 |                 48
 -0.35973288193761477 |             | toddlers        |            0 |                 49
  -0.3576350876106618 |             | athletic        |            0 |                 50
  -0.3572774128365503 |             | loose stones    |            0 |                 51
   -0.352411797527377 |             | country         |            0 |                 52
 -0.34768208944644763 |             | pop             |            0 |                 53
  -0.3413608189740932 |             | semi-precious   |            0 |                 54
 -0.33007193721502326 |             | reference       |            0 |                 55
  -0.3279676947019614 |             | shirts          |            0 |                 56
  -0.2965366308850087 |             | travel          |            0 |                 57
  -0.2964162480763579 |             | accessories     |            0 |                 58
  -0.2909832037875732 |             | estate          |            0 |                 59
  -0.2841064210049307 |             | disk drives     |            0 |                 60
  -0.2619790683087594 |             | curtains/drapes |            0 |                 61
   -0.254576572414084 |             | basketball      |            0 |                 62
  -0.2530285676380392 |             | televisions     |            0 |                 63
 -0.22283343579982687 |             | fishing         |            0 |                 64
 -0.20141117734549818 |             | musical         |            0 |                 65
 -0.13870513155016326 |             | science         |            0 |                 66
 -0.44543407648757233 | Books       | sports          |            0 |                  1
  -0.4438235849430465 | Books       | arts            |            0 |                  2
 -0.44225293510920227 | Books       | fiction         |            0 |                  3
  -0.4401783057563029 | Books       | self-help       |            0 |                  4
 -0.44007637997763976 | Books       | business        |            0 |                  5
  -0.4395145218874821 | Books       | computers       |            0 |                  6
  -0.4372481014620165 | Books       | travel          |            0 |                  7
 -0.43604904054402055 | Books       | parenting       |            0 |                  8
  -0.4360250562781182 | Books       | science         |            0 |                  9
  -0.4352501467456923 | Books       | home repair     |            0 |                 10
  -0.4346367777567514 | Books       | cooking         |            0 |                 11
  -0.4309089819177547 | Books       | entertainments  |            0 |                 12
  -0.4284853677923834 | Books       | reference       |            0 |                 13
 -0.42805032113049857 | Books       | history         |            0 |                 14
 -0.42425882500170164 | Books       | romance         |            0 |                 15
  -0.4199872172846511 | Books       | mystery         |            0 |                 16
  -0.3968658229282794 | Books       |                 |            0 |                 17
  -0.4549375559400841 | Children    |                 |            0 |                  1
  -0.4370593661938841 | Children    | newborn         |            0 |                  2
  -0.4353880284594459 | Children    | infants         |            0 |                  3
  -0.4339106170879123 | Children    | school-uniforms |            0 |                  4
  -0.4304744350906669 | Children    | toddlers        |            0 |                  5
(100 rows)

