 wsk1 |  isk1  | dmoy1 |        mean1         |          cov1          | w_warehouse_sk | i_item_sk | d_moy |         mean         |          cov           
------+--------+-------+----------------------+------------------------+----------------+-----------+-------+----------------------+------------------------
    1 |    933 |     1 | 495.5000000000000000 |     1.1944467726602220 |              1 |       933 |     2 | 333.0000000000000000 |     1.0461260272788529
    1 |   1315 |     1 | 309.7500000000000000 |     1.2501004277883422 |              1 |      1315 |     2 | 383.3333333333333333 |     1.2324929782351148
    1 |   2299 |     1 | 361.6666666666666667 |     1.2750271854023530 |              1 |      2299 |     2 | 183.7500000000000000 |     1.5306253463787973
    1 |   2961 |     1 | 331.7500000000000000 |     1.2560664114466888 |              1 |      2961 |     2 | 373.0000000000000000 |     1.0259214455270617
    1 |   3041 |     1 | 132.2500000000000000 |     1.2117403787103440 |              1 |      3041 |     2 | 329.0000000000000000 |     1.2812214164545441
    1 |   3293 |     1 | 355.5000000000000000 |     1.1899000173251167 |              1 |      3293 |     2 | 286.5000000000000000 |     1.2233827848323106
    1 |   3295 |     1 | 476.7500000000000000 |     1.0341216457652837 |              1 |      3295 |     2 | 336.5000000000000000 |     1.1494425239496018
    1 |   4359 |     1 | 216.6666666666666667 |     1.4639599373701615 |              1 |      4359 |     2 | 469.5000000000000000 |     1.0140973007097231
    1 |   4483 |     1 | 348.0000000000000000 |     1.1220323030948592 |              1 |      4483 |     2 | 293.0000000000000000 |     1.4840779335989386
    1 |   5121 |     1 | 365.5000000000000000 |     1.1140023544520192 |              1 |      5121 |     2 | 287.5000000000000000 |     1.0655690635109148
    1 |   5515 |     1 | 336.7500000000000000 |     1.1998901581670676 |              1 |      5515 |     2 | 384.7500000000000000 |     1.0589060464612943
    1 |   5727 |     1 | 390.3333333333333333 |     1.3169636106957208 |              1 |      5727 |     2 | 354.0000000000000000 |     1.1888897241602062
    1 |   6189 |     1 | 300.7500000000000000 |     1.2733060610854663 |              1 |      6189 |     2 | 443.3333333333333333 |     1.0600215887220090
    1 |   6545 |     1 | 212.7500000000000000 |     1.4133159698272949 |              1 |      6545 |     2 | 436.2500000000000000 |     1.0056105420288206
    1 |   6907 |     1 | 401.2500000000000000 |     1.0136561681988785 |              1 |      6907 |     2 | 262.0000000000000000 |     1.3503757100169122
    1 |   7747 |     1 | 367.7500000000000000 |     1.1452899658736723 |              1 |      7747 |     2 | 370.5000000000000000 |     1.0414122332372713
    1 |   7969 |     1 |  92.3333333333333333 |     1.2546515778964982 |              1 |      7969 |     2 | 298.0000000000000000 |     1.0401547892002181
    1 |   9005 |     1 | 159.3333333333333333 |     1.1648869206013933 |              1 |      9005 |     2 | 205.3333333333333333 |     1.2445191021358588
    1 |   9121 |     1 | 315.0000000000000000 |     1.2248346984931206 |              1 |      9121 |     2 | 360.0000000000000000 |     1.4876134669868028
    1 |   9223 |     1 | 277.5000000000000000 |     1.0370899457402703 |              1 |      9223 |     2 | 326.0000000000000000 |     1.0562782959801472
    1 |   9513 |     1 | 285.0000000000000000 |     1.0869663494677965 |              1 |      9513 |     2 | 377.0000000000000000 |     1.0615184448328011
    1 |   9951 |     1 | 321.6666666666666667 |     1.4541293618976684 |              1 |      9951 |     2 | 172.0000000000000000 |     1.3284851915894942
    1 |  10423 |     1 | 305.2500000000000000 |     1.0378103133922948 |              1 |     10423 |     2 | 198.6666666666666667 |     1.5313627039350000
    1 |  10815 |     1 | 333.2500000000000000 | 1.00056721653593998500 |              1 |     10815 |     2 | 204.7500000000000000 |     1.5204369501228034
    1 |  10877 |     1 | 336.2500000000000000 |     1.0385028338306528 |              1 |     10877 |     2 | 323.7500000000000000 |     1.0977769423488649
    1 |  10961 |     1 | 283.7500000000000000 |     1.2757429354147207 |              1 |     10961 |     2 | 399.3333333333333333 |     1.1837256350284332
    1 |  11385 |     1 | 208.3333333333333333 |     1.2078876768971520 |              1 |     11385 |     2 |  94.0000000000000000 |  1.0678116968023793191
    1 |  11735 |     1 | 304.2500000000000000 |     1.0414253832450682 |              1 |     11735 |     2 | 322.5000000000000000 |     1.1127146652428093
    1 |  12181 |     1 | 397.5000000000000000 |     1.0151777260334843 |              1 |     12181 |     2 | 488.2500000000000000 |     1.0443197581854378
    1 |  12967 |     1 | 392.0000000000000000 |     1.0086202625849362 |              1 |     12967 |     2 | 254.7500000000000000 |     1.0691238111426340
    1 |  13317 |     1 | 480.7500000000000000 |     1.0034446921591180 |              1 |     13317 |     2 | 205.5000000000000000 |     1.1201484224701703
    1 |  13479 |     1 | 309.7500000000000000 |     1.3453637741645940 |              1 |     13479 |     2 | 258.2500000000000000 |     1.2565781190253863
    1 |  14257 |     1 | 331.5000000000000000 |     1.1128032995548688 |              1 |     14257 |     2 | 372.7500000000000000 |     1.0473487899143072
    1 |  14317 |     1 | 376.2500000000000000 |     1.0416036363899030 |              1 |     14317 |     2 | 355.0000000000000000 |     1.2937706487508254
    1 |  14371 |     1 | 394.0000000000000000 |     1.3053213376332513 |              1 |     14371 |     2 | 324.5000000000000000 |     1.2356473951827920
    1 |  15709 |     1 | 529.0000000000000000 |     1.0185545694974461 |              1 |     15709 |     2 | 327.0000000000000000 |     1.0270343724667982
    1 |  15897 |     1 | 157.0000000000000000 |     1.1890203199570000 |              1 |     15897 |     2 | 391.2500000000000000 |     1.0512166748408639
    1 |  16325 |     1 | 176.6666666666666667 |     1.1162478470138151 |              1 |     16325 |     2 | 362.0000000000000000 |     1.0625584468046354
    1 |  16983 |     1 | 321.0000000000000000 |     1.1445054940161184 |              1 |     16983 |     2 | 303.0000000000000000 |     1.0092374705037327
    1 |  18381 |     1 | 228.6666666666666667 |     1.0489642365788746 |              1 |     18381 |     2 | 169.0000000000000000 |     1.3221641589050237
    1 |  18397 |     1 | 318.2500000000000000 |     1.2254553816556324 |              1 |     18397 |     2 | 373.5000000000000000 |     1.0402436252869130
    1 |  18555 |     1 | 274.6666666666666667 |     1.3130254761891299 |              1 |     18555 |     2 | 175.0000000000000000 |     1.1422665140481200
    1 |  19247 |     1 | 181.2500000000000000 |     1.2226915204180745 |              1 |     19247 |     2 | 327.0000000000000000 |     1.1231224263522813
    1 |  20263 |     1 | 259.2500000000000000 |     1.0780961317630434 |              1 |     20263 |     2 | 322.7500000000000000 |     1.1858377235458838
    1 |  20383 |     1 | 287.2500000000000000 |     1.0052240671016954 |              1 |     20383 |     2 | 308.2500000000000000 |     1.3508592035589749
    1 |  20907 |     1 | 254.0000000000000000 |     1.2686148819746024 |              1 |     20907 |     2 | 409.5000000000000000 |     1.0130837776928694
    1 |  21003 |     1 | 358.3333333333333333 |     1.0133320049709963 |              1 |     21003 |     2 | 230.2500000000000000 |     1.5115186886319218
    1 |  21463 |     1 | 391.5000000000000000 |     1.1456586503238110 |              1 |     21463 |     2 | 307.0000000000000000 |     1.0124827891287134
    1 |  21655 |     1 |  79.6666666666666667 |  1.2539952084331944635 |              1 |     21655 |     2 | 294.0000000000000000 |     1.2254248130797143
    1 |  22347 |     1 | 316.3333333333333333 |     1.0924131222897313 |              1 |     22347 |     2 | 338.7500000000000000 |     1.0612245033339129
    1 |  23215 |     1 | 346.0000000000000000 |     1.0565339782201850 |              1 |     23215 |     2 | 399.6666666666666667 |     1.1690397301857273
    1 |  23335 |     1 | 242.0000000000000000 |     1.1775820359161942 |              1 |     23335 |     2 | 245.7500000000000000 |     1.0354933615542665
    1 |  23355 |     1 | 455.3333333333333333 |     1.0017008980084370 |              1 |     23355 |     2 | 264.5000000000000000 |     1.1958888812317618
    1 |  24109 |     1 |  97.7500000000000000 |     1.4110819110671100 |              1 |     24109 |     2 | 296.0000000000000000 |     1.3863074581920541
    1 |  24775 |     1 | 307.7500000000000000 |     1.4775723833309634 |              1 |     24775 |     2 | 370.6666666666666667 |     1.2142365929245926
    1 |  25813 |     1 | 390.7500000000000000 |     1.1203629276959335 |              1 |     25813 |     2 | 275.5000000000000000 |     1.0663746041480871
    1 |  26293 |     1 | 302.7500000000000000 |     1.4152975386125979 |              1 |     26293 |     2 | 281.3333333333333333 |     1.2025009875851197
    1 |  26563 |     1 | 265.0000000000000000 |     1.0381817223949019 |              1 |     26563 |     2 | 189.5000000000000000 |     1.5647157305550765
    1 |  26879 |     1 | 336.7500000000000000 |     1.3124800528771047 |              1 |     26879 |     2 | 428.2500000000000000 |     1.0370534353384028
    1 |  27033 |     1 | 403.0000000000000000 |     1.2212470837858486 |              1 |     27033 |     2 | 346.5000000000000000 |     1.1215169610288254
    1 |  28029 |     1 | 125.7500000000000000 |     1.0906017762443817 |              1 |     28029 |     2 | 290.5000000000000000 |     1.4360971064499897
    1 |  28403 |     1 | 394.7500000000000000 |     1.0368827852806637 |              1 |     28403 |     2 | 324.7500000000000000 |     1.0041965768894503
    1 |  28505 |     1 | 155.7500000000000000 |     1.1302151558626517 |              1 |     28505 |     2 | 259.2500000000000000 |     1.0058822250554214
    1 |  28683 |     1 | 370.0000000000000000 |     1.0707035704925973 |              1 |     28683 |     2 | 183.3333333333333333 |     1.2463407596866091
    1 |  28743 |     1 | 277.5000000000000000 |     1.0083846201945694 |              1 |     28743 |     2 | 434.0000000000000000 |     1.0029986823306705
    1 |  29279 |     1 | 385.2500000000000000 |     1.0516581679007995 |              1 |     29279 |     2 | 316.0000000000000000 |     1.1456919998971899
    1 |  29947 |     1 | 397.6666666666666667 |     1.1125366238897678 |              1 |     29947 |     2 | 250.2500000000000000 |     1.3944255246599361
    1 |  31459 |     1 | 371.0000000000000000 |     1.0713700843518841 |              1 |     31459 |     2 | 311.5000000000000000 |     1.2147380140071878
    1 |  31533 |     1 | 347.7500000000000000 |     1.2303960030813602 |              1 |     31533 |     2 | 431.6666666666666667 |     1.0162212038229452
    1 |  32081 |     1 | 358.6666666666666667 |     1.0857305960305678 |              1 |     32081 |     2 | 425.0000000000000000 |     1.0471302024579624
    1 |  32105 |     1 | 330.7500000000000000 |     1.2064246634871081 |              1 |     32105 |     2 | 329.2500000000000000 |     1.1906217872403280
    1 |  32255 |     1 | 333.7500000000000000 |     1.2074804137075266 |              1 |     32255 |     2 | 363.7500000000000000 |     1.0059661501257595
    1 |  32707 |     1 | 240.6666666666666667 |     1.1184337023203393 |              1 |     32707 |     2 | 370.3333333333333333 |     1.2354446079904374
    1 |  33903 |     1 | 348.2500000000000000 |     1.0763221344372434 |              1 |     33903 |     2 | 155.5000000000000000 |     1.0691693052447138
    1 |  35391 |     1 | 139.0000000000000000 |     1.1404409492466043 |              1 |     35391 |     2 | 397.5000000000000000 |     1.0380592850898792
    1 |  36617 |     1 |  36.5000000000000000 |  1.1429945230138713397 |              1 |     36617 |     2 | 268.0000000000000000 |     1.5528157414238470
    1 |  36865 |     1 | 182.2500000000000000 |     1.1248006509531468 |              1 |     36865 |     2 | 351.7500000000000000 |     1.0057067010077953
    1 |  38385 |     1 | 164.3333333333333333 |     1.3124892180322576 |              1 |     38385 |     2 | 223.7500000000000000 |     1.3988820866128760
    1 |  38519 |     1 | 383.3333333333333333 |     1.3172914297053052 |              1 |     38519 |     2 | 355.5000000000000000 |     1.0038174803455359
    1 |  38877 |     1 | 257.6666666666666667 |     1.1640512897248331 |              1 |     38877 |     2 | 221.7500000000000000 |     1.5683383299634769
    1 |  39147 |     1 | 218.0000000000000000 |     1.3273562829568394 |              1 |     39147 |     2 | 355.7500000000000000 |     1.2236341286432973
    1 |  39289 |     1 | 382.6666666666666667 |     1.0503059391296916 |              1 |     39289 |     2 | 301.5000000000000000 |     1.0900136421606269
    1 |  39309 |     1 | 315.2500000000000000 |     1.1814003486284917 |              1 |     39309 |     2 | 250.0000000000000000 |     1.3497851680915760
    1 |  39501 |     1 | 474.3333333333333333 |     1.0051208953828967 |              1 |     39501 |     2 | 344.7500000000000000 |     1.2444811210819434
    1 |  39685 |     1 | 309.2500000000000000 |     1.0202033530957219 |              1 |     39685 |     2 | 412.2500000000000000 |     1.0217796463365919
    1 |  40761 |     1 | 436.5000000000000000 |     1.0583655226379175 |              1 |     40761 |     2 | 455.0000000000000000 |     1.1071092715254132
    1 |  41701 |     1 | 350.6666666666666667 |     1.4528658413937633 |              1 |     41701 |     2 | 325.0000000000000000 |     1.0473869052974462
    1 |  41775 |     1 | 453.6666666666666667 |     1.0430335021605298 |              1 |     41775 |     2 | 328.7500000000000000 |     1.2525214248328700
    1 |  41845 |     1 | 391.2500000000000000 |     1.1054864649792102 |              1 |     41845 |     2 | 367.6666666666666667 |     1.3041820250824243
    1 |  42519 |     1 | 327.0000000000000000 |     1.0163093766517431 |              1 |     42519 |     2 | 325.0000000000000000 |     1.1675480468976831
    1 |  42869 |     1 | 361.2500000000000000 |     1.1214122358495502 |              1 |     42869 |     2 | 319.2500000000000000 |     1.0177985040230572
    1 |  42943 |     1 | 248.7500000000000000 |     1.0049092060452382 |              1 |     42943 |     2 | 194.2500000000000000 |     1.0706974108592690
    1 |  43269 |     1 | 320.5000000000000000 |     1.1303568116649735 |              1 |     43269 |     2 | 404.6666666666666667 |     1.0760924923900280
    1 |  43897 |     1 | 154.2500000000000000 |     1.0685634895905802 |              1 |     43897 |     2 | 494.2500000000000000 |     1.0057904075467294
    1 |  43975 |     1 | 387.2500000000000000 |     1.0693270728151117 |              1 |     43975 |     2 | 309.6666666666666667 |     1.1702709123248654
    1 |  44155 |     1 | 271.7500000000000000 |     1.0281018563845262 |              1 |     44155 |     2 | 409.0000000000000000 |     1.2401391592217408
    1 |  45615 |     1 | 415.6666666666666667 |     1.1851857162496359 |              1 |     45615 |     2 | 441.0000000000000000 |     1.0980607093342245
    1 |  45989 |     1 | 338.3333333333333333 |     1.3466592841711833 |              1 |     45989 |     2 | 329.0000000000000000 |     1.0995732178642614
    1 |  46151 |     1 | 355.7500000000000000 |     1.0334290261380436 |              1 |     46151 |     2 | 387.0000000000000000 |     1.0438828756996305
    1 |  46351 |     1 | 274.6666666666666667 |     1.0465781874927379 |              1 |     46351 |     2 | 206.7500000000000000 |     1.1838530530747183
    1 |  46551 |     1 | 310.0000000000000000 |     1.0517415318127613 |              1 |     46551 |     2 | 451.3333333333333333 |     1.0535499054758530
    1 |  46999 |     1 | 400.0000000000000000 |     1.0502519538980475 |              1 |     46999 |     2 | 387.0000000000000000 |     1.0249270754855065
    1 |  47119 |     1 | 258.0000000000000000 |     1.3868063227922209 |              1 |     47119 |     2 | 393.0000000000000000 |     1.0444355039076081
    1 |  48691 |     1 | 411.5000000000000000 |     1.1018175262866270 |              1 |     48691 |     2 | 379.0000000000000000 |     1.0395488167243720
    1 |  48813 |     1 | 296.0000000000000000 |     1.0340781539319223 |              1 |     48813 |     2 | 411.5000000000000000 |     1.0115361412203475
    1 |  49237 |     1 | 287.7500000000000000 |     1.2960183591332546 |              1 |     49237 |     2 | 195.5000000000000000 |     1.4068913998202609
    1 |  50045 |     1 | 268.2500000000000000 |     1.5691448005139012 |              1 |     50045 |     2 | 272.2500000000000000 |     1.0040450679034013
    1 |  50071 |     1 | 268.2500000000000000 |     1.1564493241550158 |              1 |     50071 |     2 | 426.5000000000000000 |     1.3843708377274725
    1 |  50705 |     1 | 357.5000000000000000 |     1.1265691581253175 |              1 |     50705 |     2 | 372.7500000000000000 |     1.0929450920690812
    1 |  51015 |     1 | 306.7500000000000000 |     1.0097230510729715 |              1 |     51015 |     2 |  75.0000000000000000 |     1.5939887076137067
    1 |  52263 |     1 | 346.5000000000000000 |     1.0143701441823636 |              1 |     52263 |     2 | 245.0000000000000000 |     1.1819316294893918
    1 |  52469 |     1 | 354.0000000000000000 |     1.0834686750216921 |              1 |     52469 |     2 | 392.2500000000000000 |     1.0051500477503250
    1 |  53061 |     1 | 366.7500000000000000 |     1.0742491022469284 |              1 |     53061 |     2 | 308.2500000000000000 |     1.2493256754570381
    1 |  53557 |     1 | 303.5000000000000000 |     1.0613596291587941 |              1 |     53557 |     2 | 362.5000000000000000 |     1.0448085427497103
    1 |  53563 |     1 | 348.5000000000000000 |     1.0448927334082927 |              1 |     53563 |     2 | 332.5000000000000000 |     1.1693860663666586
    1 |  53601 |     1 | 346.7500000000000000 |     1.0375879322989618 |              1 |     53601 |     2 | 406.0000000000000000 |     1.0801421716173251
    1 |  53627 |     1 | 195.0000000000000000 |     1.2371309941339846 |              1 |     53627 |     2 | 437.6666666666666667 |     1.1340109260482742
    1 |  53877 |     1 | 311.6666666666666667 |     1.1138373777791583 |              1 |     53877 |     2 | 252.2500000000000000 |     1.0097812764541368
    1 |  53953 |     1 | 415.6666666666666667 |     1.0188852293160072 |              1 |     53953 |     2 | 389.5000000000000000 |     1.0922192577801027
    1 |  54295 |     1 | 372.3333333333333333 |     1.1904769568451889 |              1 |     54295 |     2 | 229.0000000000000000 |     1.1164246034422052
