 c_last_name | c_first_name |  ca_city   |   bought_city   | ss_ticket_number |        amt         |       profit        
-------------+--------------+------------+-----------------+------------------+--------------------+---------------------
             |              | Aberdeen   | Greenwood       |         10611777 |             104.64 |  -5572.120000000002
             |              | Acme       | Antioch         |          8586574 |            3319.23 | -1823.1499999999994
             |              | Acme       | Farmington      |          1449686 |             120.17 |  -6652.040000000001
             |              | Acme       | Lakeside        |         10991687 |            1225.46 | -12396.589999999998
             |              | Altamont   | Woodland        |          4780974 |            1546.53 | -12461.980000000003
             |              | Amherst    | Floyd           |         13770449 |            1135.22 | -13433.170000000002
             |              | Amherst    | Lakewood        |         19651007 |             629.81 |           -13239.17
             |              | Amherst    | New Hope        |          2325557 | 438.07000000000005 |            -6852.33
             |              | Amity      | Fairfield       |         11133957 |            1391.92 |            -9340.23
             |              | Amity      | Yorktown        |          5864103 |                  0 | -1211.1500000000003
             |              | Antioch    | Cedar           |         20707345 |            2698.07 | -12134.269999999999
             |              | Antioch    | Cedar Grove     |         23857746 |  80.11999999999999 |            -9344.76
             |              | Antioch    | Clinton         |         18838067 |             643.94 |           -11112.24
             |              | Antioch    | Concord         |         10811701 |                  0 |  -6722.119999999999
             |              | Antioch    | Crossroads      |         11165915 |            1709.27 |            -6918.34
             |              | Antioch    | Edgewood        |         17867658 |            1309.04 |  -720.7899999999996
             |              | Antioch    | Enterprise      |         16721792 |              52.84 | -10127.800000000001
             |              | Antioch    | Fairfield       |         14249228 |            2335.12 |            -5573.38
             |              | Antioch    | Granite         |         10942713 |  9149.720000000001 |           -10844.58
             |              | Antioch    | Greenwood       |         17654698 |            1235.49 |           -10829.68
             |              | Antioch    | Highland Park   |         15991378 |             420.05 |            -6283.38
             |              | Antioch    | Hillcrest       |          9368081 |             721.64 |  -8490.960000000001
             |              | Antioch    | Lakeside        |         10126762 |            1307.76 | -14671.310000000001
             |              | Antioch    | Macedonia       |         12712729 |             154.05 | -1433.6200000000003
             |              | Antioch    | Maple Grove     |          1509781 |              75.95 |  -8998.349999999999
             |              | Antioch    | Mount Vernon    |         11598669 |                  0 |            -3951.82
             |              | Antioch    | Newport         |          1490935 |             1822.8 |            -7896.92
             |              | Antioch    | Oakdale         |          6108243 |             262.48 |  -5281.840000000001
             |              | Antioch    | Riverview       |          1446510 |              142.9 |  -7005.279999999999
             |              | Antioch    | Salem           |          4336872 | 2620.3900000000003 | -10798.189999999999
             |              | Antioch    | Shiloh          |          3694444 |                  0 |  -7553.070000000001
             |              | Antioch    | Spring Hill     |          7239049 |            5856.55 | -17922.860000000004
             |              | Antioch    | Spring Hill     |         10033115 | 4024.5099999999998 | -6634.5199999999995
             |              | Antioch    | Stringtown      |         11917293 |            3566.94 | -13107.550000000001
             |              | Antioch    | Union           |          3609976 |             1096.4 | -25298.480000000007
             |              | Antioch    | Union Hill      |          6837743 | 1627.6599999999999 |            -8440.88
             |              | Antioch    | Unionville      |          1435745 |               6.39 |           -16951.81
             |              | Antioch    | Valley View     |          6997122 |                  0 |           -15383.86
             |              | Antioch    | Walnut Grove    |            17008 |            1125.23 | -11650.580000000002
             |              | Antioch    | Wildwood        |          3019833 | 3756.7000000000003 | -11442.079999999998
             |              | Arcola     | Liberty         |         13981111 |                  0 |            -2895.26
             |              | Arcola     | Riverdale       |          7070723 |  9323.849999999999 |           -17285.53
             |              | Arcola     | Union Hill      |          4363637 |             957.96 | -10363.599999999999
             |              | Argyle     | Shady Grove     |         16260594 |             114.81 |           -10641.35
             |              | Argyle     | Sulphur Springs |          4622596 | 2417.5099999999998 |            -2373.17
             |              | Arlington  | Bethel          |         23254734 |             652.66 |            -4518.59
             |              | Arlington  | Centerville     |          8745850 |  9621.099999999999 |           -13028.96
             |              | Arlington  | Enterprise      |         16839211 |             962.31 |  -5731.529999999999
             |              | Arlington  | Five Forks      |         11162531 |                  0 |            -9226.08
             |              | Arlington  | Flint           |         11296800 |                  0 |             4266.11
             |              | Arlington  | Glendale        |          3919455 |             165.69 | -10112.569999999998
             |              | Arlington  | Greenfield      |         10664629 |            6504.96 |            -4593.47
             |              | Arlington  | Greenville      |         10325065 |            5378.08 |            -8331.81
             |              | Arlington  | Hillcrest       |         14298860 |             999.97 |            -7559.09
             |              | Arlington  | Hopewell        |          8196004 |            2551.11 |           -23489.58
             |              | Arlington  | Jamestown       |         11676002 |            6543.84 |  -9314.750000000004
             |              | Arlington  | Kingston        |         16826841 |              72.61 |  441.85000000000014
             |              | Arlington  | Lakeside        |          8087879 |              88.09 |            -8395.02
             |              | Arlington  | Pine Grove      |         15427821 | 345.78999999999996 | -11518.859999999999
             |              | Arlington  | Providence      |          5011366 |             702.65 | -11115.220000000001
             |              | Arlington  | Riverdale       |         10358464 |            8484.61 |           -24894.18
             |              | Arlington  | Riverview       |          1608211 |             513.24 |  -854.1500000000003
             |              | Arlington  | Riverview       |         20127483 |            3059.58 |           -13271.25
             |              | Arlington  | Stewart         |         13585542 |            3427.09 | -19132.399999999998
             |              | Arlington  | Summit          |          7628359 |              42.24 |            -3211.38
             |              | Arlington  | Summit          |         21904683 |              78.42 |             -1803.1
             |              | Arlington  | Union Hill      |          7970101 |             209.34 | -18467.260000000002
             |              | Arlington  | Valley View     |          1251578 |             291.79 | -12706.829999999998
             |              | Arthur     | Liberty         |          8953064 |            2342.64 |  1315.0999999999995
             |              | Ashland    | Allison         |          8826009 |             212.18 |            -4819.98
             |              | Ashland    | Clifford        |          3802449 |             8280.4 | -11027.470000000001
             |              | Ashland    | Hurricane       |         15877227 |  699.3199999999999 |            -2844.28
             |              | Ashland    | Jackson         |         13097377 |             850.64 |           -11228.92
             |              | Ashland    | Mount Olive     |         22473777 |                  0 | -15486.000000000002
             |              | Ashland    | Newport         |         15003804 |            2086.48 |           -10621.16
             |              | Ashland    | Newport         |         20394558 |               8.07 | -2904.6499999999996
             |              | Ashland    | Pleasant Hill   |          3427165 |                  0 | -2624.6699999999996
             |              | Ashland    | Pleasant Hill   |          4065993 |             558.32 |  -8984.619999999999
             |              | Ashland    | Richville       |           140132 |            3467.01 |             -9602.1
             |              | Ashland    | Shady Grove     |           181038 |              77.46 |    776.380000000001
             |              | Ashland    | Stringtown      |         14852480 | 1127.3200000000002 | -3074.1000000000004
