 i_category |       i_brand       | s_store_name | s_company_name | d_year | d_moy | avg_monthly_sales  |     sum_sales      |        psum        |        nsum        
------------+---------------------+--------------+----------------+--------+-------+--------------------+--------------------+--------------------+--------------------
 Men        | edu packimporto #1  | able         | Unknown        |   1999 |     2 |  396815.2591666665 | 203800.06000000006 | 276347.19000000006 |          220469.66
 Men        | edu packimporto #1  | bar          | Unknown        |   1999 |     2 |  394108.2441666666 | 208040.02999999985 | 275125.66000000027 | 220273.03999999998
 Men        | edu packimporto #1  | eing         | Unknown        |   1999 |     2 |  395733.5124999999 |          210147.32 |  281976.9499999997 | 225338.47999999998
 Shoes      | amalgedu pack #1    | bar          | Unknown        |   1999 |     2 |  384835.2283333333 | 200407.10999999975 |  269994.7000000002 | 215245.00000000012
 Music      | edu packscholar #1  | bar          | Unknown        |   1999 |     2 |  388055.4541666666 |  203682.0900000002 |           274863.8 | 220368.42999999985
 Music      | edu packscholar #1  | able         | Unknown        |   1999 |     2 | 389536.17749999993 | 206488.72999999998 | 272799.77000000014 | 227074.59999999986
 Music      | importoscholar #1   | bar          | Unknown        |   1999 |     2 | 379357.44000000024 | 196860.55000000002 | 261366.91000000044 | 222610.92000000007
 Music      | importoscholar #1   | able         | Unknown        |   1999 |     2 |  382824.2250000001 |  200592.6499999999 |  275076.8100000001 | 211591.04999999987
 Music      | amalgscholar #1     | eing         | Unknown        |   1999 |     2 |  381872.4683333333 |          199650.05 |  277106.8100000002 | 220032.37000000023
 Women      | amalgamalg #1       | able         | Unknown        |   1999 |     2 | 374524.72833333333 | 193311.65999999986 | 262432.11999999953 | 223779.80000000028
 Men        | edu packimporto #1  | ese          | Unknown        |   1999 |     2 | 380722.38999999996 |  200036.7300000001 |  271876.0199999999 | 212329.69999999984
 Music      | importoscholar #1   | eing         | Unknown        |   1999 |     2 |  382250.0983333333 |          202086.56 | 266688.63000000035 |  222192.2600000001
 Women      | exportiamalg #1     | able         | Unknown        |   1999 |     2 | 379322.73499999987 | 199173.72000000006 |  265728.5399999999 | 223133.33000000005
 Children   | amalgexporti #1     | able         | Unknown        |   1999 |     2 | 378063.29416666686 | 198119.15000000002 | 267827.66000000003 | 215802.80000000005
 Music      | edu packscholar #1  | eing         | Unknown        |   1999 |     2 |  387154.8958333332 |  207608.9499999999 | 273453.31000000006 | 214651.90000000008
 Men        | amalgimporto #1     | able         | Unknown        |   1999 |     2 | 375424.83999999985 |          196351.41 | 262281.47000000026 | 214848.96000000014
 Men        | edu packimporto #1  | able         | Unknown        |   1999 |     4 |  396815.2591666665 | 217757.09000000014 |          220469.66 | 233655.84000000014
 Women      | exportiamalg #1     | bar          | Unknown        |   1999 |     2 | 378259.82583333337 | 199669.58999999997 |  268883.8200000001 | 220329.44999999987
 Shoes      | amalgedu pack #1    | able         | Unknown        |   1999 |     2 |  385213.2324999999 | 206649.41000000003 |  271427.5099999999 | 219871.17000000025
 Women      | edu packamalg #1    | bar          | Unknown        |   1999 |     2 |  367957.5308333335 |          189555.42 |  254578.0900000005 | 211457.66999999993
 Shoes      | exportiedu pack #1  | bar          | Unknown        |   1999 |     2 |  373142.1491666666 | 194867.88000000006 | 264015.67999999993 | 214667.47999999992
 Children   | exportiexporti #1   | able         | Unknown        |   1999 |     2 | 369316.48083333345 | 191190.61000000002 | 255710.06000000023 | 215687.01999999993
 Women      | exportiamalg #1     | eing         | Unknown        |   1999 |     2 |  378787.8691666666 | 200932.79999999993 |  268246.3300000002 | 216954.71000000002
 Children   | amalgexporti #1     | eing         | Unknown        |   1999 |     2 |  378323.0016666667 | 200530.93000000008 | 261343.42000000022 | 223841.27000000014
 Men        | amalgimporto #1     | bar          | Unknown        |   1999 |     2 |  376047.3483333332 | 198460.62000000005 |  264639.2699999999 | 210350.84999999986
 Music      | amalgscholar #1     | bar          | Unknown        |   1999 |     2 | 381309.38750000036 | 203825.02000000002 |          270816.49 |          221569.42
 Men        | importoimporto #1   | eing         | Unknown        |   1999 |     2 | 363706.00916666683 |  186629.7500000003 | 260100.54000000012 | 206553.80999999982
 Women      | exportiamalg #1     | ese          | Unknown        |   1999 |     2 |  365628.4233333335 |  188772.3899999999 | 257991.94000000032 | 208301.21999999997
 Women      | amalgamalg #1       | bar          | Unknown        |   1999 |     2 |  372954.6758333331 | 196139.08000000007 | 263912.26000000036 | 216985.01000000027
 Children   | amalgexporti #1     | bar          | Unknown        |   1999 |     2 | 376542.71166666667 | 199883.68000000005 | 264194.74000000005 | 223857.96999999994
 Children   | importoexporti #1   | able         | Unknown        |   1999 |     2 |  378577.1191666667 |  202216.2200000001 | 266979.91000000027 | 221844.61999999976
 Men        | edu packimporto #1  | able         | Unknown        |   1999 |     3 |  396815.2591666665 |          220469.66 | 203800.06000000006 | 217757.09000000014
 Music      | amalgscholar #1     | able         | Unknown        |   1999 |     2 | 381328.92333333334 |  205043.6299999999 | 267598.86000000004 | 219072.38000000012
 Music      | edu packscholar #1  | ese          | Unknown        |   1999 |     2 |  372728.2908333333 | 197745.50000000023 | 260332.79000000012 |          206841.85
 Children   | importoexporti #1   | bar          | Unknown        |   1999 |     2 | 373483.69166666665 |           198838.2 | 264574.44999999995 |  216900.7300000001
 Men        | edu packimporto #1  | eing         | Unknown        |   1999 |     4 |  395733.5124999999 | 221617.84000000003 | 225338.47999999998 | 235101.87999999977
 Men        | edu packimporto #1  | bar          | Unknown        |   1999 |     6 |  394108.2441666666 | 220060.09999999986 |          236017.25 | 231543.47000000003
 Shoes      | exportiedu pack #1  | eing         | Unknown        |   1999 |     2 | 370755.76166666666 | 196743.09000000003 | 266710.20999999996 | 217135.06000000017
 Men        | edu packimporto #1  | bar          | Unknown        |   1999 |     3 |  394108.2441666666 | 220273.03999999998 | 208040.02999999985 | 224238.81000000023
 Women      | edu packamalg #1    | eing         | Unknown        |   1999 |     2 |  368735.2366666668 | 195009.37999999995 | 265954.45000000007 | 213341.65000000026
 Children   | edu packexporti #1  | bar          | Unknown        |   1999 |     2 | 367417.01666666666 | 193863.02000000002 | 257037.28999999998 | 214621.42000000022
 Women      | edu packamalg #1    | able         | Unknown        |   1999 |     2 |  370062.3291666668 | 196571.71999999997 | 261086.16000000024 | 219183.28000000003
 Music      | amalgscholar #1     | ese          | Unknown        |   1999 |     2 |  365444.8533333332 | 191973.95000000013 | 253407.77000000014 |  206819.1899999999
 Shoes      | amalgedu pack #1    | ese          | Unknown        |   1999 |     2 |  367964.8291666668 |  194527.5300000002 | 252115.40000000026 |  209688.4000000003
 Men        | amalgimporto #1     | eing         | Unknown        |   1999 |     2 |         373684.195 | 200307.92999999988 |  272815.3600000002 | 213278.32999999993
 Shoes      | amalgedu pack #1    | eing         | Unknown        |   1999 |     2 | 381835.38249999983 | 208505.55999999982 | 276733.55000000005 | 213175.17999999993
 Men        | exportiimporto #1   | bar          | Unknown        |   1999 |     2 |  366746.2641666666 |          193796.48 | 258291.93000000002 | 214956.87999999995
 Men        | edu packimporto #1  | cally        | Unknown        |   1999 |     2 |  367857.6524999999 | 194954.35000000015 | 255507.52000000002 |  211182.4999999999
