 item_sk |   d_date   |     web_sales      |    store_sales     |   web_cumulative   |  store_cumulative  
---------+------------+--------------------+--------------------+--------------------+--------------------
       2 | 2000-01-01 |              52.08 |              14.68 |              52.08 |              14.68
       2 | 2000-01-04 |             211.07 |                    |             211.07 | 180.48000000000002
       2 | 2000-01-05 |                    | 197.78000000000003 |             211.07 | 197.78000000000003
       2 | 2000-01-06 |             273.23 |             270.41 |             273.23 |             270.41
       7 | 2000-01-02 | 196.48000000000002 |             169.74 | 196.48000000000002 |             169.74
       7 | 2000-01-03 |                    |             192.56 | 196.48000000000002 |             192.56
      13 | 2000-01-26 |             626.52 |  599.4100000000002 |             626.52 |  599.4100000000002
      13 | 2000-01-28 |             727.66 |                    |             727.66 |  711.0800000000002
      13 | 2000-01-31 |             768.05 |  760.3000000000002 |             768.05 |  760.3000000000002
      13 | 2000-02-02 |             897.51 |  761.4100000000002 |             897.51 |  761.4100000000002
      13 | 2000-02-03 |                    |  793.6600000000002 |             897.51 |  793.6600000000002
      13 | 2000-02-04 |                    |  830.5200000000002 |             897.51 |  830.5200000000002
      13 | 2000-02-05 |                    |  855.6300000000002 |             897.51 |  855.6300000000002
      13 | 2000-02-07 |             898.55 |  876.7500000000002 |             898.55 |  876.7500000000002
      13 | 2000-02-10 |  926.2099999999999 |                    |  926.2099999999999 |  876.7500000000002
      17 | 2000-01-02 | 139.89999999999998 |              56.24 | 139.89999999999998 |              56.24
      17 | 2000-01-03 |                    |              77.22 | 139.89999999999998 |              77.22
      20 | 2000-01-16 |  514.1800000000001 |                    |  514.1800000000001 | 402.96000000000004
      20 | 2000-01-17 |  554.0500000000001 |                    |  554.0500000000001 | 402.96000000000004
      20 | 2000-01-18 |                    | 496.25000000000006 |  554.0500000000001 | 496.25000000000006
      20 | 2000-01-19 |                    |             540.32 |  554.0500000000001 |             540.32
      23 | 2000-01-03 |                    |               8.13 |               8.55 |               8.13
      23 | 2000-01-04 | 172.25000000000003 |              26.22 | 172.25000000000003 |              26.22
      23 | 2000-01-07 |             245.86 |             109.88 |             245.86 |             109.88
      23 | 2000-01-08 | 248.32000000000002 |             116.22 | 248.32000000000002 |             116.22
      23 | 2000-01-09 |                    |             178.97 | 248.32000000000002 |             178.97
      23 | 2000-01-12 |                    |             181.46 | 248.32000000000002 |             181.46
      23 | 2000-01-13 |             372.14 |             248.71 |             372.14 |             248.71
      23 | 2000-01-15 |                    |             329.93 |             372.14 |             329.93
      23 | 2000-01-17 |             395.13 |                    |             395.13 |             329.93
      23 | 2000-01-19 |             442.14 | 358.71000000000004 |             442.14 | 358.71000000000004
      23 | 2000-01-23 |                    |             439.85 |             442.14 |             439.85
      23 | 2000-01-25 |             456.75 |                    |             456.75 |             439.85
      31 | 2000-01-02 | 147.33999999999997 |             137.76 | 147.33999999999997 |             137.76
      31 | 2000-01-05 | 248.54999999999995 |             146.69 | 248.54999999999995 |             146.69
      31 | 2000-01-06 | 358.94999999999993 |              281.9 | 358.94999999999993 |              281.9
      31 | 2000-01-07 |                    |             282.62 | 358.94999999999993 |             282.62
      31 | 2000-01-08 | 379.12999999999994 |             299.06 | 379.12999999999994 |             299.06
      31 | 2000-01-09 | 459.00999999999993 |                    | 459.00999999999993 |             299.06
      31 | 2000-01-10 | 478.44999999999993 |             299.11 | 478.44999999999993 |             299.11
      31 | 2000-01-12 |                    |             322.16 | 478.44999999999993 |             322.16
      31 | 2000-01-13 |                    |             336.06 | 478.44999999999993 |             336.06
      31 | 2000-01-14 |                    |             348.26 | 478.44999999999993 |             348.26
      31 | 2000-01-17 |  621.8299999999999 |                    |  621.8299999999999 |             348.26
      31 | 2000-01-18 |                    |             373.51 |  621.8299999999999 |             373.51
      31 | 2000-01-19 |                    |             381.12 |  621.8299999999999 |             381.12
      31 | 2000-01-20 |                    |             444.79 |  621.8299999999999 |             444.79
      31 | 2000-01-21 |                    |             454.41 |  621.8299999999999 |             454.41
      31 | 2000-01-22 |                    | 499.69000000000005 |  621.8299999999999 | 499.69000000000005
      31 | 2000-01-23 |  669.4999999999999 |                    |  669.4999999999999 | 499.69000000000005
      31 | 2000-01-25 |  722.2499999999999 |                    |  722.2499999999999 | 499.69000000000005
      31 | 2000-01-28 |  834.1699999999998 |  526.1600000000001 |  834.1699999999998 |  526.1600000000001
      31 | 2000-01-29 |  882.4699999999998 |                    |  882.4699999999998 |  526.1600000000001
      31 | 2000-01-30 |                    |             554.97 |  882.4699999999998 |             554.97
      31 | 2000-02-01 |                    |             762.01 |  882.4699999999998 |             762.01
      31 | 2000-02-02 |                    |             805.33 |  882.4699999999998 |             805.33
      31 | 2000-02-03 |  931.9299999999998 |                855 |  931.9299999999998 |                855
      32 | 2000-01-02 | 295.20000000000005 |              148.3 | 295.20000000000005 |              148.3
      32 | 2000-01-03 |                    | 167.66000000000003 | 295.20000000000005 | 167.66000000000003
      32 | 2000-01-04 | 312.28000000000003 | 200.91000000000003 | 312.28000000000003 | 200.91000000000003
      32 | 2000-01-05 |                    | 206.31000000000003 | 312.28000000000003 | 206.31000000000003
      32 | 2000-01-08 |             373.35 |                    |             373.35 | 206.31000000000003
      32 | 2000-01-10 |             419.12 |                    |             419.12 | 206.31000000000003
      32 | 2000-01-11 |                    | 250.84000000000003 |             419.12 | 250.84000000000003
      32 | 2000-01-12 |             431.06 | 325.68000000000006 |             431.06 | 325.68000000000006
      32 | 2000-01-13 |                    |  327.4000000000001 |             431.06 |  327.4000000000001
      32 | 2000-01-14 |                    | 358.11000000000007 |             431.06 | 358.11000000000007
      32 | 2000-01-15 |             496.02 |  381.2700000000001 |             496.02 |  381.2700000000001
      32 | 2000-01-16 |              537.3 |  432.8200000000001 |              537.3 |  432.8200000000001
      32 | 2000-01-17 |                    |  435.1200000000001 |              537.3 |  435.1200000000001
      32 | 2000-01-18 |                    | 448.03000000000014 |              537.3 | 448.03000000000014
      32 | 2000-02-03 |  857.8199999999999 |  849.1600000000002 |  857.8199999999999 |  849.1600000000002
      32 | 2000-02-05 |             893.16 |                    |             893.16 |  863.8900000000002
      34 | 2000-01-01 |             170.57 |              54.44 |             170.57 |              54.44
      35 | 2000-01-02 |             215.65 |              69.12 |             215.65 |              69.12
      35 | 2000-01-03 |             268.15 |                    |             268.15 |              69.12
      35 | 2000-01-04 |                    |             167.59 |             268.15 |             167.59
      35 | 2000-01-07 |                    |             177.22 |             268.15 |             177.22
      35 | 2000-01-08 |                    |                192 |             268.15 |                192
      35 | 2000-01-17 |                    |             217.07 |             268.15 |             217.07
      35 | 2000-01-18 |             271.26 |                    |             271.26 |             217.07
      35 | 2000-01-19 |             439.64 |                    |             439.64 |             217.07
      35 | 2000-01-20 | 482.90999999999997 |             442.69 | 482.90999999999997 |             442.69
      37 | 2000-01-02 |             201.16 | 181.51999999999998 |             201.16 | 181.51999999999998
      37 | 2000-01-06 | 365.28000000000003 |                    | 365.28000000000003 |             349.15
      37 | 2000-01-09 | 432.15000000000003 |             360.59 | 432.15000000000003 |             360.59
      37 | 2000-01-11 |                    |             383.95 | 432.15000000000003 |             383.95
      37 | 2000-01-12 |             445.49 |                    |             445.49 |             383.95
      37 | 2000-01-13 |             525.22 |                    |             525.22 |             383.95
      37 | 2000-01-14 |             614.63 | 412.78999999999996 |             614.63 | 412.78999999999996
      37 | 2000-01-15 |                    | 472.66999999999996 |             614.63 | 472.66999999999996
      37 | 2000-01-19 |                    |             541.49 |             614.63 |             541.49
      43 | 2000-01-10 |             408.64 |                    |             408.64 | 369.97999999999996
      43 | 2000-01-11 |                    | 376.29999999999995 |             408.64 | 376.29999999999995
      43 | 2000-01-15 |             496.57 |                    |             496.57 | 448.81999999999994
      47 | 2000-01-02 |              80.58 | 13.809999999999999 |              80.58 | 13.809999999999999
      49 | 2000-01-01 |              230.2 |              65.02 |              230.2 |              65.02
      65 | 2000-01-02 |             126.57 | 19.610000000000003 |             126.57 | 19.610000000000003
      65 | 2000-01-03 |                    |             106.56 |             126.57 |             106.56
      65 | 2000-01-04 |                    |             117.69 |             126.57 |             117.69
(100 rows)

