 brand_id |         brand          |     ext_price      
----------+------------------------+--------------------
  5001001 | amalgscholar #1        |  7058698.500000004
  5002001 | importoscholar #1      |  6973582.800000002
  3001001 | amalgexporti #1        |  6588172.420000002
  1001001 | amalgamalg #1          |  6301443.650000003
  2003001 | exportiimporto #1      |  6002494.179999999
  4001001 | amalgedu pack #1       |  5919987.910000006
  3004001 | edu packexporti #1     |  5204586.130000001
  2004001 | edu packimporto #1     |  5083180.079999999
  4003001 | exportiedu pack #1     |         4980377.94
  2001001 | amalgimporto #1        |  4925679.979999996
  5004001 | edu packscholar #1     |  4768448.929999999
  3002001 | importoexporti #1      |  4705803.960000004
  4002001 | importoedu pack #1     |  4556631.949999999
  5003001 | exportischolar #1      |  4488624.630000001
  4004001 | edu packedu pack #1    |  4396205.490000002
  3003001 | exportiexporti #1      |  4312059.930000002
  2002001 | importoimporto #1      | 4042782.9199999985
  1003001 | exportiamalg #1        | 4019386.1100000003
  1004001 | edu packamalg #1       | 3879600.9800000004
  1002001 | importoamalg #1        |         3297139.62
  4001002 | amalgedu pack #2       | 2939432.3500000006
  5003002 | exportischolar #2      | 2936693.4400000013
  1004002 | edu packamalg #2       |         2822176.46
  4003002 | exportiedu pack #2     |         2649030.68
  3002002 | importoexporti #2      | 2562614.1200000006
  2001002 | amalgimporto #2        | 2514966.4899999998
  3001002 | amalgexporti #2        | 2398160.4299999997
  5002002 | importoscholar #2      |         2396315.28
  5004002 | edu packscholar #2     |         2350998.62
  1001002 | amalgamalg #2          | 2334153.8500000006
  4004002 | edu packedu pack #2    |         2235500.75
  3003002 | exportiexporti #2      |  2133807.350000001
  2002002 | importoimporto #2      | 2014415.1300000004
  4002002 | importoedu pack #2     | 1982697.0700000008
  5001002 | amalgscholar #2        | 1884112.0899999999
  2003002 | exportiimporto #2      | 1769259.6600000001
  2004002 | edu packimporto #2     |         1735141.15
  3004002 | edu packexporti #2     | 1688512.8400000008
  1003002 | exportiamalg #2        | 1475489.6300000001
  1002002 | importoamalg #2        |         1383435.39
  8009007 | maxinameless #7        |  929829.2700000003
  7011007 | amalgnameless #7       |  902935.2499999998
  9008011 | namelessmaxi #11       |  900107.8800000001
  6005003 | scholarcorp #3         |          834472.25
  9002003 | importomaxi #3         |          800861.76
  9016003 | corpunivamalg #3       |          796524.71
  6005007 | scholarcorp #7         |  759147.4099999999
  7011008 | amalgnameless #8       |           709374.8
  8016009 | corpmaxi #9            |  702072.5900000001
  9015011 | scholarunivamalg #11   |  693251.8799999999
 10011004 | amalgamalgamalg #4     |  687001.0200000003
  9003009 | exportimaxi #9         |  685730.8299999998
  8008001 | namelessnameless #1    |          679309.57
  9005011 | scholarmaxi #11        |          675200.31
  9002002 | importomaxi #2         |  659950.4899999999
  9001003 | amalgmaxi #3           |  659867.8600000001
  9015008 | scholarunivamalg #8    |          651435.85
  6001001 | amalgcorp #1           |  647618.3300000001
  8011001 | amalgmaxi #1           |  641115.2899999999
 10003016 | exportiunivamalg #16   |          640896.17
  9014008 | edu packunivamalg #8   |  632253.7400000001
  7004003 | edu packbrand #3       |          622452.49
  9013005 | exportiunivamalg #5    |  621255.6699999999
  8001003 | amalgnameless #3       |          619101.49
  9001008 | amalgmaxi #8           |          617674.28
  8011009 | amalgmaxi #9           |  612078.1799999999
  7014005 | edu packnameless #5    |             610594
  8006009 | corpnameless #9        |  602342.0800000001
  6012004 | importobrand #4        |          600290.94
 10005007 | scholarunivamalg #7    |  595382.6599999999
  8008005 | namelessnameless #5    |  590124.9600000001
  9006011 | corpmaxi #11           |  588320.3799999999
 10016011 | corpamalgamalg #11     |  587908.2999999999
  6003004 | exporticorp #4         |  584622.3500000001
  9007009 | brandmaxi #9           |          580587.71
  7001009 | amalgbrand #9          |          578063.04
  9013011 | exportiunivamalg #11   |  576995.8200000001
  8004007 | edu packnameless #7    |          566632.56
  9003011 | exportimaxi #11        |  565266.6600000001
  8010001 | univmaxi #1            |  562945.9099999999
  7003005 | exportibrand #5        |  557768.3399999999
  6014001 | edu packbrand #1       |  556837.1900000002
  9003005 | exportimaxi #5         |          553063.24
  8006007 | corpnameless #7        |          547082.27
  6016005 | corpbrand #5           |          544982.79
  8004004 | edu packnameless #4    |          540617.16
  7015003 | scholarnameless #3     |          534819.48
 10014014 | edu packamalgamalg #14 |  534235.5999999999
 10014016 | edu packamalgamalg #16 |          534015.02
  6009003 | maxicorp #3            |  533461.0800000001
  9007011 | brandmaxi #11          |  531931.5499999999
 10001014 | amalgunivamalg #14     |          522398.48
  6008007 | namelesscorp #7        |  514274.4600000001
  6008003 | namelesscorp #3        |  512097.7700000001
  9010009 | univunivamalg #9       |          511265.28
 10004009 | edu packunivamalg #9   |  509738.2599999999
  6002003 | importocorp #3         |          508748.36
 10009017 | maxiunivamalg #17      | 507442.55999999994
  8001005 | amalgnameless #5       | 505731.82000000007
 10008004 | namelessunivamalg #4   | 502674.81000000006
(100 rows)

