 i_category |       i_brand       |       cc_name       | d_year | d_moy | avg_monthly_sales  |     sum_sales      |       psum        |        nsum        
------------+---------------------+---------------------+--------+-------+--------------------+--------------------+-------------------+--------------------
 Children   | amalgexporti #1     | Mid Atlantic_1      |   1999 |     2 |  135537.7791666667 |  65221.42000000001 |          75448.19 |           76121.41
 Shoes      | amalgedu pack #1    | North Midwest_1     |   1999 |     2 | 136239.73666666663 |  66050.21999999999 | 79747.45000000004 |  75346.43999999999
 Men        | edu packimporto #1  | NY Metro_2          |   1999 |     2 | 140934.13583333333 |  72120.68000000001 | 83319.35999999997 |  79872.10000000003
 Men        | edu packimporto #1  | North Midwest       |   1999 |     3 | 140246.03083333338 |           71824.23 |          75248.12 |  83287.85999999996
 Children   | amalgexporti #1     | Pacific Northwest_1 |   1999 |     2 | 133820.31583333333 |  65974.74999999997 |          86417.88 |           81230.84
 Music      | amalgscholar #1     | Hawaii/Alaska       |   1999 |     2 | 136794.60833333334 |           69184.32 | 80229.36999999997 |            78081.6
 Men        | edu packimporto #1  | North Midwest_1     |   1999 |     2 | 138617.19666666668 |  71179.94000000003 | 79212.95999999998 |  79332.78999999998
 Men        | amalgimporto #1     | North Midwest_1     |   1999 |     2 | 133749.19666666663 |  66785.87999999998 | 75959.72000000003 |  76307.67999999995
 Men        | edu packimporto #1  | Mid Atlantic_1      |   1999 |     2 | 139167.53333333333 |  72243.43999999997 |           82023.2 |  76281.82000000005
 Men        | edu packimporto #1  | NY Metro_1          |   1999 |     5 | 141394.53249999994 |  74500.89999999997 |          78486.65 |           83431.09
 Shoes      | amalgedu pack #1    | Mid Atlantic_1      |   1999 |     2 | 136157.47333333336 |  69312.64000000004 | 82202.27000000002 |  72664.54999999999
 Women      | exportiamalg #1     | California_1        |   1999 |     2 |  137913.4516666667 |  71186.61999999997 | 88420.88999999998 |  80198.13000000005
 Music      | amalgscholar #1     | Mid Atlantic_2      |   1999 |     6 | 135180.19499999998 |  68529.30000000002 | 76814.21000000004 |  79121.60000000005
 Men        | edu packimporto #1  | California          |   1999 |     2 |  138722.6133333334 |  72105.39000000001 | 83217.46999999999 |  81633.27000000002
 Men        | edu packimporto #1  | Hawaii/Alaska       |   1999 |     2 | 140397.84166666665 |           73987.49 | 83388.78999999998 |           80891.61
 Music      | amalgscholar #1     | California          |   1999 |     2 |  134524.0233333333 |  68187.05999999998 |          85390.76 |  77273.83000000002
 Music      | amalgscholar #1     | Mid Atlantic        |   1999 |     2 | 136434.24999999997 |  70147.57000000002 | 81662.90999999996 |  72975.10999999996
 Men        | edu packimporto #1  | Mid Atlantic        |   1999 |     1 | 141125.72416666665 |           74881.13 | 275366.3299999999 |  76041.43999999999
 Music      | amalgscholar #1     | North Midwest       |   1999 |     2 |  135242.7641666667 |  69046.77000000005 | 78865.54000000001 |           78597.32
 Men        | edu packimporto #1  | California_1        |   1999 |     2 | 140501.97166666668 |  74354.23000000001 | 83083.89999999997 |           85995.91
 Music      | amalgscholar #1     | NY Metro_2          |   1999 |     2 |          134961.88 |           68932.17 | 84700.84999999998 |  78001.09999999998
 Music      | amalgscholar #1     | Hawaii/Alaska_1     |   1999 |     2 | 135811.12750000003 |  69817.70999999996 | 79550.41000000005 |  79031.70000000004
 Shoes      | amalgedu pack #1    | North Midwest       |   1999 |     2 | 135001.12833333338 |  69098.22999999997 | 75034.59999999998 |  72138.63000000002
 Shoes      | amalgedu pack #1    | Mid Atlantic        |   1999 |     2 |  136004.2791666667 |  70124.37000000001 | 80783.67000000001 |  75007.95999999999
 Music      | importoscholar #1   | NY Metro            |   1999 |     2 | 134319.15833333335 |  68447.37000000002 | 79555.29000000004 |  74244.36999999997
 Women      | exportiamalg #1     | Hawaii/Alaska       |   1999 |     2 | 135543.77916666665 |  69683.82999999999 | 85653.81000000001 |  74599.04000000001
 Music      | edu packscholar #1  | Hawaii/Alaska_1     |   1999 |     4 | 136402.79583333337 |  70606.83000000003 | 81345.13000000003 |  84600.25999999994
