 i_category |    i_class     |        i_brand        | i_product_name | d_year | d_qoy | d_moy | s_store_id |      sumsales      | rk  
------------+----------------+-----------------------+----------------+--------+-------+-------+------------+--------------------+-----
 Books      | arts           | amalgmaxi #12         |                |        |       |       |            | 105804144.17000043 |  56
 Books      | arts           | amalgmaxi #2          |                |        |       |       |            | 101427482.97000039 |  73
 Books      | arts           | amalgmaxi #3          |                |        |       |       |            | 120242465.67999828 |  29
 Books      | arts           | amalgmaxi #6          |                |        |       |       |            |  96304987.13000062 |  92
 Books      | arts           | amalgmaxi #8          |                |        |       |       |            | 101374662.94000097 |  75
 Books      | arts           |                       |                |        |       |       |            |  614445929.0399965 |  14
 Books      | business       | importomaxi #12       |                |        |       |       |            | 111180755.34999916 |  44
 Books      | business       | importomaxi #2        |                |        |       |       |            |  95504019.25000085 |  95
 Books      | business       | importomaxi #3        |                |        |       |       |            | 118294778.53999989 |  32
 Books      | business       | importomaxi #8        |                |        |       |       |            |  95414563.08000019 |  96
 Books      | business       | importomaxi #9        |                |        |       |       |            |  98514842.25999975 |  83
 Books      | business       |                       |                |        |       |       |            |  602981591.6800017 |  15
 Books      | computers      | exportimaxi #12       |                |        |       |       |            | 120419286.69000039 |  28
 Books      | computers      | exportimaxi #2        |                |        |       |       |            | 100389206.47000054 |  79
 Books      | computers      | exportimaxi #6        |                |        |       |       |            |  93774092.88000017 |  99
 Books      | computers      | exportimaxi #8        |                |        |       |       |            |  105193575.8100003 |  58
 Books      | computers      |                       |                |        |       |       |            |  599986718.7600096 |  16
 Books      | cooking        | amalgunivamalg #12    |                |        |       |       |            | 105600573.64999971 |  57
 Books      | cooking        | amalgunivamalg #2     |                |        |       |       |            |  96076484.83000067 |  93
 Books      | cooking        | amalgunivamalg #3     |                |        |       |       |            |  103642727.1999992 |  63
 Books      | cooking        | amalgunivamalg #6     |                |        |       |       |            | 126359363.58999993 |  20
 Books      | cooking        | amalgunivamalg #8     |                |        |       |       |            |  93635533.48999895 | 100
 Books      | cooking        | amalgunivamalg #9     |                |        |       |       |            |   95670349.7400003 |  94
 Books      | cooking        |                       |                |        |       |       |            |  622866602.6100074 |  12
 Books      | entertainments | edu packmaxi #12      |                |        |       |       |            |   127483099.589999 |  19
 Books      | entertainments | edu packmaxi #2       |                |        |       |       |            | 115189902.20999913 |  36
 Books      | entertainments | edu packmaxi #3       |                |        |       |       |            | 109894780.08999853 |  47
 Books      | entertainments | edu packmaxi #6       |                |        |       |       |            |  103630548.6800006 |  64
 Books      | entertainments | edu packmaxi #8       |                |        |       |       |            |  97979915.67999874 |  85
 Books      | entertainments | edu packmaxi #9       |                |        |       |       |            |  95248928.32000004 |  97
 Books      | entertainments |                       |                |        |       |       |            |  652568324.1400039 |   3
 Books      | fiction        | scholarunivamalg #12  |                |        |       |       |            | 115561474.70999964 |  35
 Books      | fiction        | scholarunivamalg #2   |                |        |       |       |            | 106950669.51999988 |  54
 Books      | fiction        | scholarunivamalg #3   |                |        |       |       |            |  97916057.41999997 |  86
 Books      | fiction        | scholarunivamalg #6   |                |        |       |       |            | 113329878.01000027 |  40
 Books      | fiction        | scholarunivamalg #8   |                |        |       |       |            | 115564615.09999982 |  34
 Books      | fiction        | scholarunivamalg #9   |                |        |       |       |            |  100760592.0400008 |  78
 Books      | fiction        |                       |                |        |       |       |            |   651140260.370011 |   5
 Books      | history        | scholarmaxi #12       |                |        |       |       |            | 110990786.81000058 |  45
 Books      | history        | scholarmaxi #2        |                |        |       |       |            |  96958231.99000067 |  90
 Books      | history        | scholarmaxi #3        |                |        |       |       |            | 116101764.23999983 |  33
 Books      | history        | scholarmaxi #6        |                |        |       |       |            | 108616938.16999985 |  51
 Books      | history        | scholarmaxi #8        |                |        |       |       |            | 120491651.69999933 |  27
 Books      | history        | scholarmaxi #9        |                |        |       |       |            |  118965264.6799994 |  31
 Books      | history        |                       |                |        |       |       |            |  673253505.8900186 |   2
 Books      | home repair    | importounivamalg #12  |                |        |       |       |            |  97144820.60999915 |  88
 Books      | home repair    | importounivamalg #2   |                |        |       |       |            | 120712523.00000018 |  26
 Books      | home repair    | importounivamalg #8   |                |        |       |       |            | 122833524.82999997 |  22
 Books      | home repair    | importounivamalg #9   |                |        |       |       |            |   97758939.5900002 |  87
 Books      | home repair    |                       |                |        |       |       |            |  626548016.2399844 |  11
 Books      | mystery        | corpunivamalg #12     |                |        |       |       |            | 108880110.08999951 |  50
 Books      | mystery        | corpunivamalg #2      |                |        |       |       |            | 102465158.33999969 |  69
 Books      | mystery        | corpunivamalg #3      |                |        |       |       |            | 103451164.42999926 |  65
 Books      | mystery        | corpunivamalg #8      |                |        |       |       |            |   98647910.9400003 |  82
 Books      | mystery        | corpunivamalg #9      |                |        |       |       |            |  96627568.62000018 |  91
 Books      | mystery        |                       |                |        |       |       |            |   594052221.769999 |  17
 Books      | parenting      | corpmaxi #12          |                |        |       |       |            | 104892554.71000041 |  60
 Books      | parenting      | corpmaxi #2           |                |        |       |       |            | 107206626.83000049 |  53
 Books      | parenting      | corpmaxi #3           |                |        |       |       |            | 101482563.34000014 |  72
 Books      | parenting      | corpmaxi #6           |                |        |       |       |            | 100349558.89000037 |  80
 Books      | parenting      | corpmaxi #8           |                |        |       |       |            |  103174000.7899997 |  67
 Books      | parenting      | corpmaxi #9           |                |        |       |       |            |   115121861.639999 |  37
 Books      | parenting      |                       |                |        |       |       |            |  633446981.0500059 |   8
 Books      | reference      | brandmaxi #12         |                |        |       |       |            | 104340619.99000105 |  61
 Books      | reference      | brandmaxi #2          |                |        |       |       |            |  94229068.82000002 |  98
 Books      | reference      | brandmaxi #3          |                |        |       |       |            | 121073354.44999917 |  23
 Books      | reference      | brandmaxi #6          |                |        |       |       |            | 101512511.18000011 |  71
 Books      | reference      | brandmaxi #8          |                |        |       |       |            |  125390814.1300006 |  21
 Books      | reference      | brandmaxi #9          |                |        |       |       |            |  102788448.6200009 |  68
 Books      | reference      |                       |                |        |       |       |            |  652489861.1899892 |   4
 Books      | romance        | namelessmaxi #12      |                |        |       |       |            |  114191250.7499992 |  38
 Books      | romance        | namelessmaxi #2       |                |        |       |       |            |  98072337.80000015 |  84
 Books      | romance        | namelessmaxi #3       |                |        |       |       |            | 120895299.67000034 |  25
 Books      | romance        | namelessmaxi #6       |                |        |       |       |            | 101763771.63000043 |  70
 Books      | romance        | namelessmaxi #9       |                |        |       |       |            | 103258901.38000034 |  66
 Books      | romance        |                       |                |        |       |       |            |  630025342.6099956 |   9
 Books      | science        | maximaxi #2           |                |        |       |       |            |  112593604.6500003 |  42
 Books      | science        | maximaxi #3           |                |        |       |       |            | 112092886.12000048 |  43
 Books      | science        | maximaxi #6           |                |        |       |       |            | 105160306.90000078 |  59
 Books      | science        | maximaxi #9           |                |        |       |       |            | 108934239.22000125 |  49
 Books      | science        |                       |                |        |       |       |            |  619727312.9800025 |  13
 Books      | self-help      | exportiunivamalg #12  |                |        |       |       |            |  106222672.1499997 |  55
 Books      | self-help      | exportiunivamalg #2   |                |        |       |       |            |  97048628.11000052 |  89
 Books      | self-help      | exportiunivamalg #3   |                |        |       |       |            | 103950430.72000052 |  62
 Books      | self-help      | exportiunivamalg #6   |                |        |       |       |            | 101034147.49000049 |  77
 Books      | self-help      | exportiunivamalg #9   |                |        |       |       |            | 129931271.88999982 |  18
 Books      | self-help      |                       |                |        |       |       |            |  629627068.6799886 |  10
 Books      | sports         | edu packunivamalg #12 |                |        |       |       |            | 112823292.87000091 |  41
 Books      | sports         | edu packunivamalg #2  |                |        |       |       |            | 109122262.65000081 |  48
 Books      | sports         | edu packunivamalg #3  |                |        |       |       |            |  99587381.78999932 |  81
 Books      | sports         | edu packunivamalg #6  |                |        |       |       |            | 120895656.94999829 |  24
 Books      | sports         | edu packunivamalg #8  |                |        |       |       |            | 107435864.96000057 |  52
 Books      | sports         |                       |                |        |       |       |            |  637454600.6500103 |   7
 Books      | travel         | univunivamalg #2      |                |        |       |       |            | 101260253.27999952 |  76
 Books      | travel         | univunivamalg #3      |                |        |       |       |            | 101409613.71000057 |  74
