      total_sum      | s_state |     s_county      | lochierarchy | rank_within_parent 
---------------------+---------+-------------------+--------------+--------------------
  -43989851063.26082 |         |                   |            2 |                  1
  -3072592379.639849 | MO      |                   |            1 |                  1
 -3525144593.1098704 | GA      |                   |            1 |                  2
  -4390699028.489385 | AL      |                   |            1 |                  3
  -4827829295.770936 | OH      |                   |            1 |                  4
  -4842861219.400317 | MI      |                   |            1 |                  5
  -5500924087.219885 | TN      |                   |            1 |                  6
  -5521444751.530219 | LA      |                   |            1 |                  7
  -5935200524.019856 | SC      |                   |            1 |                  8
  -6373155184.080495 | SD      |                   |            1 |                  9
  -4390699028.489385 | AL      | Walker County     |            0 |                  1
 -3525144593.1098704 | GA      | Barrow County     |            0 |                  1
  -5521444751.530219 | LA      | Franklin Parish   |            0 |                  1
  -4842861219.400317 | MI      | Luce County       |            0 |                  1
  -3072592379.639849 | MO      | Daviess County    |            0 |                  1
  -4827829295.770936 | OH      | Richland County   |            0 |                  1
  -218833293.2799995 | SC      |                   |            0 |                  1
  -5716367230.739857 | SC      | Fairfield County  |            0 |                  2
  -6373155184.080495 | SD      | Ziebach County    |            0 |                  1
  -5500924087.219885 | TN      | Williamson County |            0 |                  1
(20 rows)

