 channel |    col_name     | d_year | d_qoy | i_category  | sales_cnt |     sales_amt      
---------+-----------------+--------+-------+-------------+-----------+--------------------
 catalog | cs_ship_addr_sk |   1998 |     1 |             |        23 | 54232.920000000006
 catalog | cs_ship_addr_sk |   1998 |     1 | Books       |      1035 | 1395364.9400000009
 catalog | cs_ship_addr_sk |   1998 |     1 | Children    |       977 |         1226181.78
 catalog | cs_ship_addr_sk |   1998 |     1 | Electronics |      1054 | 1207667.7599999998
 catalog | cs_ship_addr_sk |   1998 |     1 | Home        |       979 | 1309181.7600000019
 catalog | cs_ship_addr_sk |   1998 |     1 | Jewelry     |       997 | 1335974.6299999978
 catalog | cs_ship_addr_sk |   1998 |     1 | Men         |       996 | 1321693.8700000008
 catalog | cs_ship_addr_sk |   1998 |     1 | Music       |      1079 | 1486794.8599999999
 catalog | cs_ship_addr_sk |   1998 |     1 | Shoes       |      1028 |  1378177.459999999
 catalog | cs_ship_addr_sk |   1998 |     1 | Sports      |      1026 | 1300633.1499999992
 catalog | cs_ship_addr_sk |   1998 |     1 | Women       |      1028 | 1360457.6300000001
 catalog | cs_ship_addr_sk |   1998 |     2 |             |        28 |  46541.87000000001
 catalog | cs_ship_addr_sk |   1998 |     2 | Books       |      1030 | 1252666.9100000004
 catalog | cs_ship_addr_sk |   1998 |     2 | Children    |      1008 |  1225279.100000001
 catalog | cs_ship_addr_sk |   1998 |     2 | Electronics |       996 | 1232578.8099999998
 catalog | cs_ship_addr_sk |   1998 |     2 | Home        |      1041 |  1389536.769999999
 catalog | cs_ship_addr_sk |   1998 |     2 | Jewelry     |       984 | 1194722.4099999988
 catalog | cs_ship_addr_sk |   1998 |     2 | Men         |       982 | 1339618.7600000005
 catalog | cs_ship_addr_sk |   1998 |     2 | Music       |       977 |  1269861.920000001
 catalog | cs_ship_addr_sk |   1998 |     2 | Shoes       |      1052 |  1366338.569999999
 catalog | cs_ship_addr_sk |   1998 |     2 | Sports      |      1021 | 1261821.3000000007
 catalog | cs_ship_addr_sk |   1998 |     2 | Women       |      1041 |         1457319.43
 catalog | cs_ship_addr_sk |   1998 |     3 |             |        56 |           73676.28
