     channel     | id  |       sales        |      returns_      |       profit        
-----------------+-----+--------------------+--------------------+---------------------
                 |     | 185883354222.21985 | 3558435878.1399984 |  -24562660244.36999
 catalog channel |     |        214400098.5 |       195594677.54 | -159446186.11000004
 catalog channel |     | 170476460639.09988 |      3129514840.64 | -19003359262.960014
 catalog channel |   1 |  11269388591.36995 | 195594677.54000005 | -1245859144.2999983
 catalog channel |   2 | 11543270105.849995 |       195594677.54 | -1279321757.0500019
 catalog channel |   5 | 11378781260.699987 |       195594677.54 | -1240392180.2800074
 catalog channel |   7 | 11274600184.050062 |       195594677.54 | -1270061988.4900084
 catalog channel |   8 | 11446756770.540113 | 195594677.54000005 | -1261425343.0599988
 catalog channel |  11 | 11314875307.259907 |       195594677.54 | -1281103822.0900006
 catalog channel |  13 | 11304799608.269913 |       195594677.54 | -1242465790.2100105
 catalog channel |  14 | 11320185736.020016 |       195594677.54 | -1241978668.7499988
 catalog channel |  17 |  11403938210.69999 |       195594677.54 | -1302476594.5599933
 catalog channel |  19 |  11266248042.83995 |       195594677.54 | -1244925296.5599937
 catalog channel |  20 |  11295450937.26007 |       195594677.54 | -1227887732.3800068
 catalog channel |  23 | 11407907064.119984 | 195594677.54000002 | -1263980135.4399912
 catalog channel |  25 | 11312716481.219952 |       195594677.54 | -1247783851.6299984
 catalog channel |  26 | 11412924752.879976 |       195594677.54 | -1240871497.0900044
 catalog channel |  29 | 11310217487.520031 |       195594677.54 | -1253379274.9599972
 store channel   |     | 11295640794.569998 | 321247401.18000007 |  -5083110358.549997
 store channel   |   1 |  55966236.93000005 |  1538658.810000001 |  -25039328.04999997
 store channel   |   2 | 55363257.689999856 |         1591655.77 | -24758279.369999953
 store channel   |   4 | 54287498.610000074 |  1626022.370000001 | -24475474.780000024
 store channel   |   7 |  57344932.23000012 | 1620019.2099999997 |  -25937776.92999996
 store channel   |   8 |  54952201.25000004 | 1672298.4000000008 | -24712409.779999953
 store channel   |  10 |  56032622.03999998 | 1529981.7200000002 | -24815111.570000023
 store channel   |  13 |  58274415.78000003 | 1599818.9900000007 | -25035600.119999986
 store channel   |  14 | 54688613.290000126 | 1675106.3400000003 | -24981323.659999978
 store channel   |  16 | 56326692.380000144 | 1505970.2300000004 | -24849421.859999985
