 c_last_name | c_first_name | substring | ss_ticket_number |        amt         |       profit        
-------------+--------------+-----------+------------------+--------------------+---------------------
             |              |           |         14967548 |            7381.82 |           -22784.12
             |              |           |         22797904 |             391.38 |           -21455.17
             |              |           |         15743643 |  6636.759999999999 |           -21451.14
             |              |           |         17696835 |            3219.38 |           -21165.92
             |              |           |          1439863 |            7778.54 | -17798.510000000002
             |              |           |         18860115 |            2148.48 | -17317.829999999998
             |              |           |          5514766 |             624.37 |           -17211.37
             |              |           |         19802397 |            3211.39 | -15876.269999999999
             |              |           |         22590970 |                  0 | -15816.880000000001
             |              |           |          6496910 |             479.43 | -15605.919999999998
             |              |           |         22755435 |            2931.56 |           -15420.54
             |              |           |          2201049 | 2055.0699999999997 | -15158.549999999997
             |              |           |         10271259 |            1961.26 |           -14463.57
             |              |           |          4936005 |             533.72 | -14054.810000000001
             |              |           |         19205573 |             233.73 |           -13526.86
             |              |           |          7176728 | 3773.0800000000004 | -12959.960000000003
             |              |           |         11099729 | 3472.3300000000004 | -12959.880000000001
             |              |           |         22478272 |             2015.5 |           -12695.69
             |              |           |         20909634 |  980.5600000000001 | -12570.979999999998
             |              |           |          5311316 |            3236.58 | -12381.869999999999
             |              |           |         17907379 |              93.14 | -11541.119999999997
             |              |           |         20257565 |  4840.969999999999 | -11512.340000000002
             |              |           |            27400 |            3746.45 |           -11322.69
             |              |           |          8715452 | 213.32999999999998 |           -11313.61
             |              |           |          1356297 |             109.41 | -10998.789999999999
             |              |           |         10454982 |            2167.59 | -10561.789999999999
             |              |           |          2175089 |            2615.36 | -10032.269999999999
             |              |           |          8268704 |            7102.96 |             -9956.1
             |              |           |         18902410 |            4544.12 |            -9602.59
             |              |           |         10782588 |             127.13 |            -9259.74
             |              |           |          6602361 |                  0 |  -9255.420000000002
             |              |           |          4264433 |            4015.73 |            -9185.66
             |              |           |         21888983 |             316.23 |            -8994.24
             |              |           |          7398921 |            2428.62 |  -8681.970000000001
             |              |           |         12138875 |                  0 |            -8297.72
             |              |           |         10292092 |             3034.6 |  -7892.079999999999
             |              |           |         22133660 |            1110.75 |            -7547.03
             |              |           |         14043653 |            1716.75 |            -7086.05
             |              |           |         21034745 |             514.15 |            -6833.74
             |              |           |         16209361 |            7390.25 |  -6548.310000000001
             |              |           |         23318915 | 3892.5099999999998 |            -6295.58
             |              |           |         17903837 |             159.78 |  -6242.439999999999
             |              |           |         23008972 |            2660.02 |  -6205.950000000001
             |              |           |         16733729 | 5195.5599999999995 |            -6202.58
             |              |           |         22361408 |  567.0600000000001 |            -5804.91
             |              |           |          2446762 |                  0 |  -5551.610000000001
             |              |           |          5207059 |            1169.89 |  -5370.090000000002
             |              |           |         22483680 |             406.22 |  -5364.840000000001
             |              |           |         10512793 |                  0 |            -5220.18
             |              |           |          4011578 |             962.18 |  -5167.950000000001
             |              |           |         20863691 | 2184.5099999999998 |  -4780.870000000001
             |              |           |          9338539 |             777.31 |  -4610.040000000001
             |              |           |         15075998 |            2360.54 |            -4550.39
             |              |           |          9212846 |                  0 |            -4524.07
             |              |           |         23111354 |             2981.9 |            -4234.19
             |              |           |          8993397 |            1466.48 | -4023.0699999999997
             |              |           |         15811959 |                  0 |            -3463.31
             |              |           |          9876555 |                  0 |            -2731.57
             |              |           |         21964930 |            1850.82 |            -2300.99
             |              |           |         10453050 |                  0 |               -1638
             |              |           |         22404111 |             761.05 | -1438.2199999999996
             |              |           |          3090757 |             412.19 |            -1004.84
             |              |           |         21457302 |  4671.960000000001 |  -772.8000000000003
             |              |           |         11212924 |              41.49 | -163.69000000000005
             |              |           |          1356297 |                    |              -118.4
             |              |           |          3539764 |            3294.31 |  304.96000000000004
             |              |           |         19920812 |             268.51 |  1341.3100000000002
             |              |           |         18304696 |             113.09 |             1469.11
             |              |           |         11080016 |                  0 |             2919.78
             |              |           |          1852539 |            1843.87 |   6929.970000000001
             |              | Bethel    |         15155061 |                    |                    
             |              | Bethel    |         15518346 |                    |                    
             |              | Bethel    |          1328819 |                  0 |                    
             |              | Bethel    |         17456993 |                  0 |                    
             |              | Bethel    |          7159126 |                  0 |                    
             |              | Bethel    |         11604937 |                    |                    
             |              | Bethel    |         16964082 |                  0 |                    
             |              | Bethel    |          5915253 |                    |                    
             |              | Bethel    |         18214629 |            2451.42 |                    
             |              | Bethel    |         22767968 |                    |                    
             |              | Bethel    |         14843335 |                  0 |                    
             |              | Bethel    |          4411428 |                  0 |                    
             |              | Bethel    |          7860958 |                  0 |                    
             |              | Bethel    |         13645651 |                  0 |                    
             |              | Bethel    |          4750930 |             160.69 |                    
             |              | Bethel    |          1162721 |                  0 |                    
             |              | Bethel    |         14776312 |                    |                    
             |              | Bethel    |         12566473 |                    |                    
             |              | Bethel    |         13436948 |                  0 |                    
             |              | Bethel    |         17041199 |                    |                    
             |              | Bethel    |         16908117 |                    |                    
             |              | Bethel    |         23912162 |                    |                    
             |              | Bethel    |         18390845 |            5028.28 |           -38807.81
             |              | Bethel    |         19426131 |             8761.7 |           -38635.28
             |              | Bethel    |         19042654 | 1731.4899999999998 | -33003.530000000006
             |              | Bethel    |          7891926 |            4068.04 |           -32474.16
             |              | Bethel    |          2168982 |            5422.41 | -31821.700000000004
             |              | Bethel    |          9977778 | 3306.6399999999994 |           -29048.26
             |              | Bethel    |         17628765 |           17435.69 |           -28288.23
             |              | Bethel    |          3794982 |           11052.15 | -27819.539999999997
(100 rows)

