      substring       |        avg1         |        avg2        |        avg         
----------------------+---------------------+--------------------+--------------------
 Did not fit          | 19.0000000000000000 |  420.2966666666666 | 13.233333333333334
 Did not get it on ti | 14.0000000000000000 |              116.8 |              43.98
 Did not like the col |  8.0000000000000000 |  56.43333333333334 |              71.19
 Did not like the mak | 18.0000000000000000 |            519.955 | 55.525000000000006
 Did not like the mod |  7.0000000000000000 |              26.03 |              10.43
 Did not like the war | 31.4000000000000000 |            772.074 |  56.61600000000001
 Does not work with a | 42.5000000000000000 | 502.35499999999996 |             22.165
 Found a better exten | 46.3333333333333333 | 1464.5716666666667 | 30.519999999999996
 Gift exchange        | 19.5000000000000000 |              236.2 |              28.08
 Lost my job          | 46.5000000000000000 |           1121.395 |             45.945
 No service location  | 40.5000000000000000 |            1255.45 |              24.58
 Not the product that |  5.5000000000000000 |              65.38 |            46.4575
 Not working any more | 33.5000000000000000 |           207.0525 |            58.6575
 Package was damaged  | 27.0000000000000000 | 469.89285714285717 |  51.70428571428571
 Stopped working      | 38.7500000000000000 |           660.6625 |             54.975
 Wrong size           |  3.0000000000000000 |             115.38 |              89.12
 duplicate purchase   | 40.5000000000000000 |            789.035 |              25.57
 it is a girl         |  9.0000000000000000 |             442.64 |              53.65
 its is a boy         | 49.7500000000000000 |          1179.0125 |             56.475
 reason 23            | 24.6666666666666667 |  726.5933333333332 |  60.74333333333333
 reason 24            | 26.4000000000000000 |            266.988 | 53.013999999999996
 reason 25            | 30.0000000000000000 | 207.62000000000003 |  62.50333333333333
 reason 26            | 23.0000000000000000 |             163.75 | 20.092499999999998
 reason 27            | 16.0000000000000000 |             319.78 |               40.3
 reason 28            | 64.0000000000000000 |             161.39 |              31.09
 reason 29            |  9.2000000000000000 |            289.044 | 42.910000000000004
 reason 31            | 27.4000000000000000 |              593.9 | 24.951999999999998
 reason 32            | 32.0000000000000000 |             373.03 |              29.97
 reason 33            |  5.0000000000000000 |            123.115 |             61.395
 reason 34            |  6.8000000000000000 | 37.522000000000006 |             74.916
 reason 35            | 32.5000000000000000 |              148.8 |              72.97
 reason 36            | 21.5000000000000000 |           859.0125 |             58.095
 reason 37            | 13.5000000000000000 | 116.41499999999999 |             66.795
 reason 38            | 19.5000000000000000 | 225.09166666666667 | 62.285000000000004
 reason 39            | 33.0000000000000000 | 2307.4725000000003 |            47.3575
 reason 40            | 10.6666666666666667 | 278.05333333333334 |  50.81333333333333
 reason 41            | 13.6000000000000000 |            266.486 | 56.248000000000005
 reason 42            | 36.0000000000000000 |  942.2233333333334 | 23.206666666666663
 reason 44            | 55.5000000000000000 | 1722.8999999999999 |             16.365
 reason 45            | 66.0000000000000000 |            2236.99 |              63.16
 reason 46            |  4.0000000000000000 |             327.31 | 63.709999999999994
 reason 47            |  4.0000000000000000 |             244.91 |              99.47
 reason 48            | 12.2000000000000000 |  597.6840000000001 |              37.83
 reason 49            | 21.6666666666666667 |  485.7033333333333 |  36.07333333333333
 reason 50            | 18.7500000000000000 | 245.88250000000002 |            65.3875
 reason 51            | 19.6666666666666667 | 338.36333333333334 | 59.595000000000006
 reason 52            | 25.5000000000000000 |             568.86 |             47.525
 reason 53            | 44.0000000000000000 |              3.005 |               75.5
 reason 54            | 45.0000000000000000 |            1029.88 | 61.419999999999995
 unauthoized purchase | 40.6000000000000000 |            669.316 |             38.336
(50 rows)

