     total_sum      | i_category  |     i_class     | lochierarchy | rank_within_parent 
--------------------+-------------+-----------------+--------------+--------------------
 33198941642.939976 |             |                 |            2 |                  1
  3362668983.440001 | Sports      |                 |            1 |                  1
 3326230218.9599895 | Children    |                 |            1 |                  2
 3322426297.9800057 | Women       |                 |            1 |                  3
 3322357618.8100004 | Electronics |                 |            1 |                  4
 3313717334.8599963 | Music       |                 |            1 |                  5
  3313356205.320002 | Books       |                 |            1 |                  6
  3295907951.769998 | Home        |                 |            1 |                  7
 3294344966.0200047 | Shoes       |                 |            1 |                  8
 3283901669.2599998 | Jewelry     |                 |            1 |                  9
  3280370106.399999 | Men         |                 |            1 |                 10
        83660290.12 |             |                 |            1 |                 11
  42471805.75000001 |             |                 |            0 |                  1
  1998229.870000001 |             | dresses         |            0 |                  2
 1943976.9800000007 |             | swimwear        |            0 |                  3
 1666085.2399999993 |             | womens          |            0 |                  4
         1646554.31 |             | fragrances      |            0 |                  5
 1635493.2800000003 |             | athletic        |            0 |                  6
 1396655.3399999994 |             | toddlers        |            0 |                  7
 1339466.0299999996 |             | pants           |            0 |                  8
 1328477.4100000001 |             | newborn         |            0 |                  9
 1208893.6499999997 |             | shirts          |            0 |                 10
         1078947.14 |             | history         |            0 |                 11
  989749.3599999996 |             | country         |            0 |                 12
  942108.7300000001 |             | mens            |            0 |                 13
  927681.4000000004 |             | classical       |            0 |                 14
  846775.2600000001 |             | sports-apparel  |            0 |                 15
  765114.6999999995 |             | rock            |            0 |                 16
  744611.3400000001 |             | memory          |            0 |                 17
  738591.1499999999 |             | business        |            0 |                 18
  733046.6900000001 |             | basketball      |            0 |                 19
  709032.5499999998 |             | infants         |            0 |                 20
  705455.3500000001 |             | pendants        |            0 |                 21
          675903.16 |             | loose stones    |            0 |                 22
  675230.9400000002 |             | earings         |            0 |                 23
  669896.2000000003 |             | baseball        |            0 |                 24
          590604.69 |             | archery         |            0 |                 25
  588892.9100000001 |             | custom          |            0 |                 26
  586015.1099999998 |             | reference       |            0 |                 27
  577419.3800000001 |             | pop             |            0 |                 28
  571929.6199999999 |             | diamonds        |            0 |                 29
  437272.3700000001 |             | fitness         |            0 |                 30
 418661.98000000004 |             | accessories     |            0 |                 31
          410068.81 |             | tennis          |            0 |                 32
 391592.01999999996 |             | maternity       |            0 |                 33
 388662.80000000005 |             | mystery         |            0 |                 34
  385810.9299999999 |             | glassware       |            0 |                 35
  380837.7399999997 |             | entertainments  |            0 |                 36
 375212.67000000033 |             | school-uniforms |            0 |                 37
           362707.5 |             | curtains/drapes |            0 |                 38
  359753.8200000002 |             | televisions     |            0 |                 39
  348284.0299999999 |             | outdoor         |            0 |                 40
  346374.8800000002 |             | wallpaper       |            0 |                 41
 344339.43000000005 |             | decor           |            0 |                 42
           341987.9 |             | lighting        |            0 |                 43
  337748.0500000001 |             | travel          |            0 |                 44
          336158.86 |             | estate          |            0 |                 45
 335848.10000000015 |             | mens watch      |            0 |                 46
 334154.70999999996 |             | tables          |            0 |                 47
  333829.4600000002 |             | bracelets       |            0 |                 48
 333483.32999999996 |             | accent          |            0 |                 49
  329687.8000000001 |             | camping         |            0 |                 50
          326247.53 |             | monitors        |            0 |                 51
  325947.2600000003 |             | disk drives     |            0 |                 52
          324196.77 |             | self-help       |            0 |                 53
  319078.5600000003 |             | dvd/vcr players |            0 |                 54
          316462.04 |             | computers       |            0 |                 55
 306255.41999999987 |             | semi-precious   |            0 |                 56
 305722.27999999997 |             | arts            |            0 |                 57
 300362.37000000005 |             | portable        |            0 |                 58
  296088.3799999999 |             | rugs            |            0 |                 59
  295868.6600000001 |             | womens watch    |            0 |                 60
 288928.83999999985 |             | athletic shoes  |            0 |                 61
          287394.06 |             | guns            |            0 |                 62
          284065.37 |             | romance         |            0 |                 63
 283431.16000000015 |             | musical         |            0 |                 64
  281032.1799999999 |             | scanners        |            0 |                 65
  254460.5299999999 |             | science         |            0 |                 66
 242466.16999999998 |             | flatware        |            0 |                 67
 231876.20999999993 |             | stereo          |            0 |                 68
            2287.39 |             | bedding         |            0 |                 69
 1865.1299999999999 |             | mattresses      |            0 |                 70
            1034.28 |             | pools           |            0 |                 71
               98.8 |             | furniture       |            0 |                 72
 219050351.40000105 | Books       | history         |            0 |                  1
 214638703.58000028 | Books       | entertainments  |            0 |                  2
 213999906.97999978 | Books       | reference       |            0 |                  3
 213003587.83999896 | Books       | fiction         |            0 |                  4
 210406628.74000058 | Books       | travel          |            0 |                  5
 209607409.54999977 | Books       | home repair     |            0 |                  6
 208337086.97999892 | Books       | romance         |            0 |                  7
 207533890.50999993 | Books       | parenting       |            0 |                  8
 207196147.83000022 | Books       | sports          |            0 |                  9
 206587244.17000106 | Books       | self-help       |            0 |                 10
 205490731.01000005 | Books       | cooking         |            0 |                 11
 202471452.82000074 | Books       | arts            |            0 |                 12
 202003628.94000003 | Books       | science         |            0 |                 13
 198013944.62000036 | Books       | business        |            0 |                 14
  196234147.1499994 | Books       | computers       |            0 |                 15
 193466087.71000051 | Books       | mystery         |            0 |                 16
(100 rows)

