 i_category | i_class |      i_brand      | s_store_name | s_company_name | d_moy |     sum_sales      | avg_monthly_sales  
------------+---------+-------------------+--------------+----------------+-------+--------------------+--------------------
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     2 | 193311.66000000003 |  374524.7283333333
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     2 | 196139.08000000002 | 372954.67583333305
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     2 | 186629.75000000012 |  363196.5183333335
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     2 | 194376.20000000013 |  366631.8475000001
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     2 | 202262.71000000002 | 373189.18583333335
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     2 | 188696.99999999994 |        358121.1975
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     2 |  197792.6799999999 | 364935.63666666654
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     4 |          209921.18 |  374524.7283333333
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     4 | 208505.26000000013 | 372954.67583333305
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     4 |          199871.01 |  363196.5183333335
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     3 | 210203.65000000017 | 373189.18583333335
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     6 | 211966.24000000005 |  374524.7283333333
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     4 |  211192.5200000001 | 373189.18583333335
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     4 |  204850.6499999999 |  366631.8475000001
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     2 | 189590.19000000003 |  351348.0324999998
 Women      | dresses | amalgamalg #1     | eing         | Unknown        |     6 |  211609.1000000001 | 373189.18583333335
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     5 | 213941.16000000027 |  374524.7283333333
 Women      | dresses | amalgamalg #1     | cally        | Unknown        |     2 | 181628.72999999992 | 341984.93750000006
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     6 | 213472.74000000025 | 372954.67583333305
 Women      | dresses | amalgamalg #1     | ese          | Unknown        |     6 | 199467.94000000003 |        358121.1975
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     5 | 206400.99000000008 | 364935.63666666654
 Men        | shirts  | importoimporto #1 | bar          | Unknown        |     6 | 208633.40000000014 |  366631.8475000001
 Men        | shirts  | importoimporto #1 | eing         | Unknown        |     3 | 206083.53000000014 |  363196.5183333335
 Men        | shirts  | importoimporto #1 | ese          | Unknown        |     6 | 194529.65000000005 |  351348.0324999998
 Women      | dresses | amalgamalg #1     | able         | Unknown        |     7 | 218090.20000000013 |  374524.7283333333
 Women      | dresses | amalgamalg #1     | bar          | Unknown        |     3 | 216985.01000000013 | 372954.67583333305
 Men        | shirts  | importoimporto #1 | able         | Unknown        |     6 | 209313.50000000003 | 364935.63666666654
